Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
PLOS MEDICINE,"8,425",13.050,0.071550
PLOS BIOLOGY,"15,699",12.916,0.176220
Molecular Systems Biology,"2,812",12.125,0.026410
Living Reviews in Relativity,"1,189",10.600,0.007630
PLoS Genetics,"8,883",9.532,0.099640
PLoS Pathogens,"6,527",8.978,0.051280
NUCLEIC ACIDS RESEARCH,"95,799",7.479,0.352470
HEALTH TECHNOLOGY ASSESSMENT,"3,284",6.910,0.012680
EMERGING INFECTIOUS DISEASES,"18,017",6.794,0.077910
GENOME BIOLOGY,"12,688",6.626,0.079790
STUDIES IN MYCOLOGY,"1,107",6.349,0.004020
ENVIRONMENTAL HEALTH PERSPECTIVES,"21,856",6.191,0.064460
Orphanet Journal of Rare Diseases,684,5.825,0.004300
PLoS Computational Biology,"4,674",5.759,0.043530
BMC BIOLOGY,"1,152",5.636,0.010010
EUROPEAN CELLS & MATERIALS,727,5.378,0.002900
BREAST CANCER RESEARCH,"4,644",5.326,0.024440
Molecular Neurodegeneration,379,5.091,0.002660
NEOPLASIA,"4,232",5.025,0.019420
MOLECULAR MEDICINE,"2,785",5.020,0.006980
CRITICAL CARE,"5,771",4.931,0.030320
DNA RESEARCH,"1,627",4.917,0.005850
ATMOSPHERIC CHEMISTRY AND PHYSICS,"10,675",4.881,0.062720
Evolutionary Applications,290,4.744,0.001310
PLoS Neglected Tropical Diseases,992,4.693,0.006140
Journal of Neuroinflammation,787,4.675,0.004990
PLoS One,"20,466",4.351,0.163590
BMC EVOLUTIONARY BIOLOGY,"4,236",4.294,0.034030
ARTHRITIS RESEARCH & THERAPY,"5,513",4.271,0.026990
Molecular Pain,789,4.187,0.005930
CELLULAR ONCOLOGY,460,4.169,0.002640
Molecular Cancer,"1,766",4.160,0.010470
Biotechnology for Biofuels,83,4.118,0.000380
Retrovirology,"1,642",4.105,0.009660
BMC Systems Biology,716,4.064,0.004750
BMC Medicine,864,3.985,0.005600
JOURNAL OF MEDICAL INTERNET RESEARCH,"1,319",3.924,0.005420
Climate of the Past,401,3.826,0.004470
BMC PLANT BIOLOGY,"1,264",3.774,0.007610
BMC GENOMICS,"7,974",3.759,0.054330
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,"1,163",3.462,0.000400
Microbial Cell Factories,712,3.432,0.003580
BMC BIOINFORMATICS,"10,850",3.428,0.073130
Journal of Translational Medicine,"1,001",3.407,0.005490
Neural Development,253,3.387,0.003260
Environmental Research Letters,494,3.342,0.004210
Biology Direct,523,3.322,0.004570
NEW JOURNAL OF PHYSICS,"8,711",3.312,0.076200
BMC DEVELOPMENTAL BIOLOGY,"1,468",3.290,0.012040
OPTICS EXPRESS,"32,080",3.278,0.199510
Biogeosciences,"1,290",3.246,0.009540
RESPIRATORY RESEARCH,"2,535",3.127,0.013360
BIOSCIENCE REPORTS,"1,213",3.061,0.002590
JOURNAL OF VISION,"3,613",3.022,0.020810
ACTA DERMATO-VENEREOLOGICA,"3,556",3.007,0.005210
MALARIA JOURNAL,"2,511",2.995,0.012050
Plant Methods,234,2.976,0.001800
Nanoscale Research Letters,681,2.894,0.002720
BMC MICROBIOLOGY,"2,270",2.890,0.013390
International Journal of Biological Sciences,457,2.865,0.002580
Marine Drugs,257,2.863,0.001030
BMC MOLECULAR BIOLOGY,"1,186",2.848,0.007720
BMC Medical Genetics,"1,155",2.840,0.007400
BMC STRUCTURAL BIOLOGY,644,2.790,0.005330
Molecular Imaging,788,2.786,0.003540
Cardiovascular Diabetology,504,2.770,0.002610
BMC NEUROSCIENCE,"1,861",2.744,0.011120
BMC CANCER,"4,017",2.736,0.022310
BMC IMMUNOLOGY,590,2.724,0.003390
BMC BIOTECHNOLOGY,"1,117",2.723,0.005880
BMC Medical Genomics,192,2.661,0.001510
BMC CELL BIOLOGY,996,2.654,0.006690
International Journal of Behavioral Nutrition and Physical Activity,837,2.627,0.005130
Nutrition & Metabolism,566,2.619,0.002910
International Journal of Nanomedicine,517,2.612,0.002590
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"1,565",2.599,0.007710
Proteome Science,297,2.564,0.001460
BMC INFECTIOUS DISEASES,"2,074",2.550,0.012200
LANGUAGE LEARNING & TECHNOLOGY,562,2.531,0.001160
Radiation Oncology,358,2.529,0.001700
Implementation Science,465,2.485,0.001870
Implementation Science,465,2.485,0.001870
Environmental Health,600,2.481,0.003200
HYDROLOGY AND EARTH SYSTEM SCIENCES,"2,066",2.462,0.008390
Health and Quality of Life Outcomes,"1,935",2.456,0.009670
Health and Quality of Life Outcomes,"1,935",2.456,0.009670
International Journal of Health Geographics,751,2.450,0.003570
Virology Journal,"1,304",2.435,0.008450
GEOCHEMICAL TRANSACTIONS,281,2.346,0.001240
Behavioral and Brain Functions,586,2.336,0.003750
Journal of Statistical Software,714,2.320,0.005640
BMC Medical Research Methodology,"1,225",2.303,0.007100
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,873,2.278,0.005060
BMB Reports,339,2.276,0.001830
BMC GENETICS,"1,376",2.230,0.008190
BMC PUBLIC HEALTH,"3,643",2.223,0.021820
COMPUTATIONAL LINGUISTICS,"1,467",2.212,0.002130
