Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"1,600",16.526,0.006330
Molecular Systems Biology,"7,195",14.099,0.039950
PLOS MEDICINE,"16,975",14.000,0.073660
Living Reviews in Solar Physics,582,11.833,0.003900
PLOS BIOLOGY,"24,324",11.771,0.112170
Nature Communications,"17,193",10.742,0.123310
GENOME BIOLOGY,"19,687",10.465,0.082730
NPG Asia Materials,654,9.902,0.003320
STUDIES IN MYCOLOGY,"1,461",9.296,0.002690
NUCLEIC ACIDS RESEARCH,"126,356",8.808,0.334540
eLife,722,8.519,0.002770
Light-Science & Applications,266,8.476,0.001140
Physical Review X,"1,130",8.463,0.010220
EMBO Molecular Medicine,"2,188",8.245,0.013410
PLoS Genetics,"27,581",8.167,0.187820
PLoS Pathogens,"25,613",8.057,0.142050
Theranostics,"1,112",7.827,0.003650
BMC BIOLOGY,"3,214",7.431,0.016380
Journal of Cachexia Sarcopenia and Muscle,516,7.413,0.001880
EMERGING INFECTIOUS DISEASES,"24,364",7.327,0.063900
BMC Medicine,"4,052",7.276,0.017360
Cell Reports,"2,416",7.207,0.019250
ENVIRONMENTAL HEALTH PERSPECTIVES,"31,363",7.029,0.054790
Particle and Fibre Toxicology,"1,934",6.987,0.006000
mBio,"2,747",6.875,0.017010
Biotechnology for Biofuels,"1,790",6.221,0.007000
Clinical Epigenetics,273,6.219,0.001120
Geoscientific Model Development,"1,427",6.086,0.009830
BREAST CANCER RESEARCH,"8,270",5.881,0.028230
HAEMATOLOGICA,"12,461",5.868,0.042870
Disease Models & Mechanisms,"1,738",5.537,0.010210
Molecular Autism,335,5.486,0.001800
NEOPLASIA,"6,174",5.398,0.017240
Molecular Cancer,"5,470",5.397,0.021090
ATMOSPHERIC CHEMISTRY AND PHYSICS,"26,767",5.298,0.101570
Molecular Neurodegeneration,"1,662",5.286,0.007530
Cell Death & Disease,"2,599",5.177,0.012550
Journal of Advances in Modeling Earth Systems,480,5.149,0.003080
HEALTH TECHNOLOGY ASSESSMENT,"4,439",5.116,0.011000
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"2,421",5.112,0.008260
Scientific Reports,"7,118",5.078,0.036180
CRITICAL CARE,"12,822",5.035,0.040050
DNA RESEARCH,"2,062",4.975,0.004300
Genome Medicine,"1,211",4.942,0.007280
Journal of Hematology & Oncology,"1,124",4.933,0.004510
Journal of Neuroinflammation,"4,222",4.902,0.015590
EUROPEAN CELLS & MATERIALS,"2,096",4.887,0.005410
PLoS Computational Biology,"14,236",4.829,0.085710
MOLECULAR MEDICINE,"4,189",4.824,0.013190
Retrovirology,"3,286",4.767,0.011650
Cell Communication and Signaling,808,4.672,0.003890
JOURNAL OF MEDICAL INTERNET RESEARCH,"3,919",4.669,0.010710
Eurosurveillance,"5,861",4.659,0.023250
Plant Genome,429,4.659,0.001930
Stem Cell Research & Therapy,738,4.634,0.002450
Evolutionary Applications,"1,465",4.569,0.009040
Open Biology,374,4.556,0.002840
Journal of Cheminformatics,604,4.540,0.002480
Genome Biology and Evolution,"1,842",4.532,0.011840
PLoS Neglected Tropical Diseases,"8,527",4.489,0.040010
Epigenetics & Chromatin,419,4.462,0.003310
Database-The Journal of Biological Databases and Curation,859,4.457,0.005290
ASN Neuro,440,4.436,0.002400
Cryosphere,"1,495",4.374,0.009820
International Journal of Biological Sciences,"2,193",4.372,0.008230
Translational Psychiatry,929,4.360,0.003950
Molecular Brain,879,4.345,0.004790
Microbial Cell Factories,"2,942",4.250,0.009460
ACTA DERMATO-VENEREOLOGICA,"4,354",4.244,0.007940
Journal of the International AIDS Society,979,4.207,0.005630
International Journal of Nanomedicine,"5,600",4.195,0.015330
Frontiers in Neuroanatomy,821,4.176,0.005810
Frontiers in Cellular Neuroscience,701,4.175,0.002900
Frontiers in Behavioral Neuroscience,"1,380",4.160,0.008180
ARTHRITIS RESEARCH & THERAPY,"10,010",4.117,0.033720
Environmental Research Letters,"3,525",4.090,0.020520
JOURNAL OF NANOBIOTECHNOLOGY,"1,125",4.078,0.002480
BMC GENOMICS,"20,971",4.041,0.086330
Biology Direct,"1,274",4.035,0.007390
Journal of Translational Medicine,"3,947",3.991,0.015740
Orphanet Journal of Rare Diseases,"2,340",3.958,0.008630
BMC PLANT BIOLOGY,"5,662",3.942,0.022500
Frontiers in Microbiology,"2,890",3.941,0.014690
BMC Medical Genomics,"1,453",3.914,0.007960
Journal of Statistical Software,"3,717",3.801,0.020570
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,"3,804",3.760,0.008500
Biogeosciences,"6,982",3.753,0.036100
GENETICS SELECTION EVOLUTION,"1,717",3.747,0.003910
Cardiovascular Diabetology,"2,085",3.706,0.005700
Journal of Neurodevelopmental Disorders,427,3.705,0.002500
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"7,264",3.698,0.026550
International Journal of Behavioral Nutrition and Physical Activity,"3,291",3.675,0.013410
NEW JOURNAL OF PHYSICS,"19,246",3.671,0.126930
HYDROLOGY AND EARTH SYSTEM SCIENCES,"6,859",3.642,0.022220
Frontiers in Plant Science,"1,806",3.637,0.007020
ALTEX-Alternatives to Animal Experimentation,586,3.630,0.001030
NEURAL PLASTICITY,"1,003",3.608,0.003290
Stem Cells Translational Medicine,427,3.596,0.001510
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,"3,886",3.550,0.011280
PLoS One,"226,708",3.534,1.165820
Molecular Pain,"2,290",3.531,0.009720
OPTICS EXPRESS,"71,343",3.525,0.254320
Marine Drugs,"2,906",3.512,0.009030
Alzheimers Research & Therapy,436,3.500,0.002080
Biomedical Optics Express,"2,614",3.497,0.011320
MALARIA JOURNAL,"8,286",3.489,0.029380
Climate of the Past,"2,146",3.482,0.011140
Implementation Science,"2,388",3.470,0.009860
Implementation Science,"2,388",3.470,0.009860
BMC EVOLUTIONARY BIOLOGY,"9,760",3.407,0.037690
VETERINARY RESEARCH,"3,521",3.383,0.007310
RESPIRATORY RESEARCH,"4,450",3.382,0.012350
Neural Development,886,3.372,0.006300
Oxidative Medicine and Cellular Longevity,"1,205",3.363,0.004090
Nutrition & Metabolism,"1,825",3.355,0.005560
BMC CANCER,"12,565",3.319,0.047600
JOURNAL OF HEADACHE AND PAIN,"1,492",3.281,0.004150
Viruses-Basel,"1,745",3.279,0.009190
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"2,670",3.271,0.008150
Parasites & Vectors,"2,759",3.251,0.010300
Cell and Bioscience,294,3.210,0.001410
Atmospheric Measurement Techniques,"2,089",3.206,0.011490
Standards in Genomic Sciences,889,3.167,0.002630
Nutrients,"1,094",3.148,0.004540
EvoDevo,216,3.104,0.001860
Drug Design Development and Therapy,464,3.026,0.001710
Microbial Biotechnology,"1,007",3.023,0.004620
BMC MICROBIOLOGY,"6,431",2.976,0.025550
Express Polymer Letters,"1,578",2.953,0.004650
Frontiers in Neural Circuits,835,2.950,0.005440
ChemistryOpen,101,2.938,0.000450
Optical Materials Express,"1,223",2.923,0.006280
International Journal of Clinical and Health Psychology,556,2.915,0.001290
Frontiers in Human Neuroscience,"2,749",2.895,0.013660
Journal of Physiotherapy,232,2.894,0.000960
Blood Cancer Journal,225,2.884,0.001080
Journal of the American Heart Association,456,2.882,0.001970
JOURNAL OF EPIDEMIOLOGY,"1,673",2.862,0.004030
BIOSCIENCE REPORTS,"1,594",2.853,0.002820
BMC Systems Biology,"3,262",2.853,0.017470
BMC NEUROSCIENCE,"3,977",2.845,0.013820
BMC CELL BIOLOGY,"1,800",2.844,0.006490
Frontiers in Aging Neuroscience,491,2.843,0.002280
Frontiers in Psychology,"3,230",2.843,0.015090
Beilstein Journal of Organic Chemistry,"2,119",2.820,0.007840
Stem Cells International,585,2.806,0.002220
Earth System Dynamics,133,2.771,0.000690
BMC DEVELOPMENTAL BIOLOGY,"2,411",2.752,0.008430
Progress of Theoretical and Experimental Physics,264,2.745,0.001260
JOURNAL OF BIOMEDICAL SCIENCE,"2,464",2.736,0.006000
International Journal of Chronic Obstructive Pulmonary Disease,"1,162",2.732,0.003950
JOURNAL OF VISION,"6,901",2.727,0.030400
Environmental Health,"1,983",2.713,0.008450
Arabian Journal of Chemistry,561,2.684,0.001380
BMC BIOINFORMATICS,"18,923",2.672,0.074550
ECOLOGY AND SOCIETY,"4,521",2.669,0.011860
ECOLOGY AND SOCIETY,"4,521",2.669,0.011860
Molecular Cytogenetics,381,2.662,0.001640
GEOCHEMICAL TRANSACTIONS,386,2.647,0.001110
Journal of Cancer,470,2.639,0.001850
Nutrition Journal,"1,945",2.635,0.005350
Cell Division,529,2.625,0.002710
Advances in High Energy Physics,445,2.624,0.002240
Remote Sensing,"1,739",2.623,0.005570
Journal of NeuroEngineering and Rehabilitation,"1,430",2.622,0.004360
Frontiers in Cellular and Infection Microbiology,496,2.620,0.002580
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"2,714",2.613,0.007460
Ecosphere,775,2.595,0.005500
BMC BIOTECHNOLOGY,"2,232",2.592,0.007170
Plant Methods,852,2.586,0.003590
BMC INFECTIOUS DISEASES,"6,263",2.561,0.023790
Translational Oncology,678,2.558,0.003090
Population Health Metrics,638,2.537,0.003370
ASIAN JOURNAL OF ANDROLOGY,"1,958",2.530,0.005290
Journal of Space Weather and Space Climate,87,2.519,0.000220
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,"2,382",2.518,0.007670
International Journal for Parasitology-Drugs and Drug Resistance,95,2.514,0.000640
G3-Genes Genomes Genetics,719,2.511,0.004100
Polymers,677,2.505,0.002590
Diabetology & Metabolic Syndrome,412,2.500,0.001610
BMC Pulmonary Medicine,946,2.489,0.003910
BMC Neurology,"2,105",2.486,0.008590
Nanoscale Research Letters,"5,927",2.481,0.021260
Toxins,"1,088",2.480,0.004420
Acta Orthopaedica,"6,683",2.452,0.008840
BMC Medical Genetics,"2,540",2.450,0.009180
Rice,346,2.450,0.001580
Mobile DNA,306,2.429,0.000780
MEDIATORS OF INFLAMMATION,"2,625",2.417,0.007400
Diagnostic Pathology,"1,538",2.411,0.004230
Reproductive Biology and Endocrinology,"2,734",2.409,0.007450
Aquaculture Environment Interactions,183,2.371,0.000690
Radiation Oncology,"1,933",2.360,0.008100
BMC GENETICS,"2,249",2.356,0.007270
Chinese Medicine,440,2.343,0.001180
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"7,898",2.339,0.026340
Beilstein Journal of Nanotechnology,559,2.332,0.002830
IEEE Photonics Journal,"1,439",2.330,0.007990
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,"2,991",2.330,0.010770
BMC PUBLIC HEALTH,"13,919",2.321,0.056610
Immunity & Ageing,360,2.316,0.000800
Lipids in Health and Disease,"2,030",2.310,0.006280
Frontiers in Zoology,"1,000",2.304,0.003090
Nano-Micro Letters,284,2.275,0.000820
BMC IMMUNOLOGY,"1,297",2.246,0.005240
BMC Psychiatry,"3,052",2.237,0.010870
EUROPEAN JOURNAL OF HISTOCHEMISTRY,731,2.237,0.001070
Frontiers in Computational Neuroscience,689,2.233,0.003960
BMC STRUCTURAL BIOLOGY,"1,092",2.222,0.004690
Journal of Inflammation-London,669,2.216,0.002820
Molecular Imaging,"1,007",2.191,0.002860
BMC Biophysics,97,2.175,0.000620
Evidence-based Complementary and Alternative Medicine,"4,798",2.175,0.009360
DISEASE MARKERS,"1,401",2.174,0.003970
BMC Medical Research Methodology,"3,786",2.168,0.012930
Solid Earth,193,2.155,0.001230
Neuropsychiatric Disease and Treatment,"1,229",2.154,0.003550
BMC Pregnancy and Childbirth,"1,787",2.152,0.007450
CELLULAR ONCOLOGY,691,2.124,0.002140
Trials,"2,332",2.117,0.012890
BMC GASTROENTEROLOGY,"2,175",2.113,0.008120
Hereditary Cancer in Clinical Practice,152,2.103,0.000680
Health and Quality of Life Outcomes,"4,179",2.099,0.009900
Health and Quality of Life Outcomes,"4,179",2.099,0.009900
Parkinsons Disease,377,2.098,0.001690
MOLECULES,"10,380",2.095,0.028510
Virology Journal,"4,724",2.089,0.018240
Infectious Agents and Cancer,382,2.071,0.001650
Gut Pathogens,226,2.070,0.001000
BMJ Open,"2,043",2.063,0.010240
BMC MOLECULAR BIOLOGY,"2,226",2.057,0.007900
SENSORS,"9,689",2.048,0.031860
Journal of Ovarian Research,347,2.030,0.001380
International Journal of Oral Science,298,2.029,0.001370
