Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"2,186",29.300,0.006820
Lancet Global Health,"2,649",17.686,0.015340
Lancet Global Health,"2,649",17.686,0.015340
Light-Science & Applications,"2,856",14.098,0.011050
STUDIES IN MYCOLOGY,"2,390",14.000,0.004980
Physical Review X,"7,645",12.789,0.057930
Living Reviews in Solar Physics,974,12.455,0.004100
Nature Communications,"123,958",12.124,0.721690
GENOME BIOLOGY,"28,862",11.908,0.095090
PLOS MEDICINE,"22,665",11.862,0.059420
NUCLEIC ACIDS RESEARCH,"156,800",10.162,0.374740
PLOS BIOLOGY,"26,893",9.797,0.067380
ENVIRONMENTAL HEALTH PERSPECTIVES,"37,319",9.776,0.044680
Molecular Systems Biology,"8,208",9.750,0.033980
Journal of Cachexia Sarcopenia and Muscle,"1,310",9.697,0.003770
Journal of Statistical Software,"10,301",9.436,0.032800
Bone Research,592,9.326,0.001530
EMBO Molecular Medicine,"5,352",9.249,0.024220
NPG Asia Materials,"2,632",9.157,0.008100
npj Quantum Information,121,9.111,0.000600
Advanced Science,"1,550",9.034,0.004300
Theranostics,"4,091",8.766,0.012640
Chemical Science,"28,154",8.668,0.112530
Particle and Fibre Toxicology,"3,642",8.577,0.007820
Microbiome,"1,396",8.496,0.007210
Cell Reports,"20,705",8.282,0.158370
EMERGING INFECTIOUS DISEASES,"28,052",8.222,0.074220
BMC Medicine,"9,765",8.097,0.039330
ACS Central Science,604,7.939,0.002380
Optica,"2,364",7.727,0.012170
eLife,"15,730",7.725,0.130300
HAEMATOLOGICA,"15,075",7.702,0.040380
PLANT BIOTECHNOLOGY JOURNAL,"5,968",7.443,0.014100
Stem Cell Reports,"3,299",7.338,0.020450
Eurosurveillance,"7,773",7.202,0.031710
Genome Medicine,"3,161",7.071,0.015930
Clinical Epidemiology,"1,625",7.056,0.007840
Conservation Letters,"2,420",7.020,0.009040
mBio,"10,112",6.956,0.053780
GigaScience,"1,145",6.871,0.007590
Molecular Metabolism,"1,626",6.799,0.008800
Molecular Neurodegeneration,"2,946",6.780,0.009520
BMC BIOLOGY,"4,588",6.779,0.016100
AGING CELL,"7,200",6.714,0.020340
Earth System Science Data,935,6.696,0.005790
PLoS Pathogens,"37,598",6.608,0.142530
Frontiers in Immunology,"12,225",6.429,0.058290
Molecular Therapy-Nucleic Acids,"1,490",6.392,0.006870
Journal of Hematology & Oncology,"2,879",6.350,0.007910
BREAST CANCER RESEARCH,"10,541",6.345,0.023820
Redox Biology,"2,540",6.337,0.009150
Journal of the International AIDS Society,"2,682",6.296,0.012150
Molecular Cancer,"9,134",6.204,0.018240
Alzheimers Research & Therapy,"1,699",6.154,0.007160
Blood Cancer Journal,"1,270",6.126,0.006310
PLoS Genetics,"39,330",6.100,0.184040
JOURNAL OF HIGH ENERGY PHYSICS,"78,730",6.063,0.183340
Cell Death & Disease,"11,593",5.965,0.042410
IUCrJ,756,5.793,0.003820
Evolutionary Applications,"2,890",5.671,0.010330
Emerging Microbes & Infections,754,5.605,0.003250
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"4,349",5.601,0.014920
DNA RESEARCH,"2,773",5.404,0.005040
Protein & Cell,"1,898",5.374,0.007310
CRITICAL CARE,"19,632",5.358,0.048490
ATMOSPHERIC CHEMISTRY AND PHYSICS,"40,765",5.318,0.095240
EUROPEAN PHYSICAL JOURNAL C,"18,242",5.297,0.054320
Biotechnology for Biofuels,"6,029",5.203,0.017440
Epigenetics & Chromatin,"1,093",5.189,0.006450
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"4,593",5.189,0.006840
