Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"3,797",15.325,0.004990
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"61,024",15.239,0.087980
Lancet Psychiatry,"3,223",15.233,0.015200
Lancet Psychiatry,"3,223",15.233,0.015200
CIRCULATION RESEARCH,"52,753",15.211,0.082780
Nature Reviews Cardiology,"5,228",15.162,0.018210
BLOOD,"167,858",15.132,0.277840
BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.010130
BEHAVIORAL AND BRAIN SCIENCES,"8,900",15.071,0.010130
JOURNAL OF HEPATOLOGY,"37,108",15.040,0.087270
INTENSIVE CARE MEDICINE,"22,135",15.008,0.037810
Annual Review of Medicine,"6,111",14.970,0.010320
Annual Review of Fluid Mechanics,"11,622",14.814,0.011710
Annual Review of Neuroscience,"13,320",14.675,0.016110
COORDINATION CHEMISTRY REVIEWS,"30,949",14.499,0.034920
Nature Geoscience,"20,386",14.391,0.078810
Physical Review X,"10,288",14.385,0.069570
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"533,512",14.357,0.727950
Annual Review of Physiology,"9,111",14.327,0.013170
NEURON,"89,413",14.319,0.216530
REPORTS ON PROGRESS IN PHYSICS,"15,949",14.257,0.030510
MOLECULAR CELL,"61,604",14.248,0.181070
TRENDS IN IMMUNOLOGY,"11,204",14.188,0.026850
Nature Microbiology,"2,510",14.174,0.013660
PROGRESS IN NEUROBIOLOGY,"13,065",14.163,0.015540
Chem,997,14.104,0.003220
Nature Reviews Nephrology,"4,668",14.101,0.017090
HEPATOLOGY,"63,302",14.079,0.103280
FUNGAL DIVERSITY,"4,078",14.078,0.006660
ANNALS OF ONCOLOGY,"38,742",13.930,0.095750
Annual Review of Entomology,"12,338",13.860,0.009370
Nature Chemical Biology,"19,562",13.843,0.061210
Physics of Life Reviews,"1,381",13.783,0.002960
Annual Review of Physical Chemistry,"8,793",13.738,0.014200
ACS Nano,"134,596",13.709,0.346230
ADVANCED DRUG DELIVERY REVIEWS,"34,931",13.660,0.043020
Light-Science & Applications,"4,249",13.625,0.015690
TRENDS IN BIOTECHNOLOGY,"14,746",13.578,0.019160
REVIEWS OF GEOPHYSICS,"10,115",13.529,0.012750
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,301",13.439,0.012060
DIABETES CARE,"67,278",13.397,0.110230
AMERICAN JOURNAL OF PSYCHIATRY,"42,370",13.396,0.037840
AMERICAN JOURNAL OF PSYCHIATRY,"42,370",13.396,0.037840
NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,547",13.333,0.081770
ADVANCED FUNCTIONAL MATERIALS,"78,965",13.325,0.162940
Annual Review of Pharmacology and Toxicology,"7,827",13.295,0.010500
Annual Review of Clinical Psychology,"4,926",13.278,0.010540
Annual Review of Clinical Psychology,"4,926",13.278,0.010540
