Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"1,838",19.250,0.006300
Living Reviews in Solar Physics,840,17.636,0.006040
Light-Science & Applications,"1,042",14.603,0.004480
PLOS MEDICINE,"18,649",14.429,0.068770
STUDIES IN MYCOLOGY,"1,660",13.250,0.003640
Nature Communications,"39,396",11.470,0.263260
Molecular Systems Biology,"7,644",10.872,0.038870
GENOME BIOLOGY,"22,663",10.810,0.087790
NPG Asia Materials,"1,145",10.118,0.005090
Lancet Global Health,457,10.042,0.002040
Lancet Global Health,457,10.042,0.002040
PLOS BIOLOGY,"25,729",9.343,0.092920
eLife,"3,179",9.322,0.024860
NUCLEIC ACIDS RESEARCH,"136,883",9.112,0.343470
Physical Review X,"2,364",9.043,0.019810
EMBO Molecular Medicine,"3,363",8.665,0.019610
Cell Reports,"6,886",8.358,0.056460
Theranostics,"1,850",8.022,0.005990
BMC BIOLOGY,"3,676",7.984,0.016970
ENVIRONMENTAL HEALTH PERSPECTIVES,"34,489",7.977,0.055140
PLoS Pathogens,"30,229",7.562,0.149020
PLoS Genetics,"33,624",7.528,0.198080
BMC Medicine,"5,708",7.356,0.024100
Journal of Cachexia Sarcopenia and Muscle,713,7.315,0.002080
Particle and Fibre Toxicology,"2,620",7.113,0.007530
mBio,"4,529",6.786,0.025870
EMERGING INFECTIOUS DISEASES,"24,477",6.751,0.059320
Molecular Neurodegeneration,"2,058",6.563,0.008730
AGING CELL,"5,793",6.340,0.019120
PHYSICS LETTERS B,"61,553",6.131,0.105100
JOURNAL OF HIGH ENERGY PHYSICS,"65,164",6.111,0.162940
Biotechnology for Biofuels,"3,026",6.044,0.012040
HAEMATOLOGICA,"12,975",5.814,0.040240
Genome Medicine,"1,660",5.809,0.010770
Open Biology,833,5.784,0.005540
MEDICINE,"4,912",5.723,0.005850
Eurosurveillance,"6,152",5.722,0.024800
Stem Cells Translational Medicine,"1,253",5.709,0.005490
Translational Psychiatry,"1,919",5.620,0.009280
Scientific Reports,"22,336",5.578,0.114760
Cryosphere,"2,467",5.516,0.014800
BREAST CANCER RESEARCH,"8,885",5.490,0.027890
DNA RESEARCH,"2,456",5.477,0.004940
ALTEX-Alternatives to Animal Experimentation,815,5.467,0.001420
Molecular Autism,577,5.413,0.003080
Journal of Neuroinflammation,"5,318",5.408,0.018200
Stem Cell Reports,461,5.365,0.002560
Epigenetics & Chromatin,603,5.333,0.004440
Journal of the International AIDS Society,"1,448",5.090,0.007590
EUROPEAN PHYSICAL JOURNAL C,"12,961",5.084,0.045020
ATMOSPHERIC CHEMISTRY AND PHYSICS,"30,341",5.053,0.104050
HEALTH TECHNOLOGY ASSESSMENT,"4,595",5.027,0.011760
Cell Death & Disease,"5,309",5.014,0.023420
Disease Models & Mechanisms,"2,584",4.973,0.012770
Journal of Advances in Modeling Earth Systems,700,4.922,0.005300
Molecular Brain,"1,144",4.902,0.005370
EUROPEAN CELLS & MATERIALS,"2,581",4.886,0.006270
Biology of Sex Differences,321,4.837,0.001610
Journal of Hematology & Oncology,"1,475",4.812,0.005520
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"2,741",4.719,0.011450
Biology Direct,"1,445",4.658,0.006670
PLoS Computational Biology,"16,444",4.620,0.082400
Journal of Cheminformatics,852,4.547,0.003600
Clinical Epigenetics,431,4.543,0.001900
Molecular Therapy-Nucleic Acids,600,4.512,0.002470
International Journal of Biological Sciences,"2,611",4.509,0.009350
MOLECULAR MEDICINE,"4,481",4.508,0.011380
CRITICAL CARE,"13,898",4.476,0.044980
PLoS Neglected Tropical Diseases,"11,704",4.446,0.046930
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"3,370",4.429,0.008170
International Journal of Nanomedicine,"7,954",4.383,0.020070
Journal of the American Heart Association,"1,707",4.306,0.009810
Frontiers in Cellular Neuroscience,"1,941",4.289,0.008160
Molecular Cancer,"6,350",4.257,0.019690
NEOPLASIA,"6,144",4.252,0.014890
Genome Biology and Evolution,"2,718",4.229,0.016710
Microbial Cell Factories,"3,541",4.221,0.010680
Retrovirology,"3,288",4.185,0.012890
Implementation Science,"3,322",4.122,0.013230
Implementation Science,"3,322",4.122,0.013230
JOURNAL OF NANOBIOTECHNOLOGY,"1,405",4.115,0.003140
Infectious Diseases of Poverty,206,4.111,0.000660
International Journal of Behavioral Nutrition and Physical Activity,"4,829",4.111,0.016820
Frontiers in Molecular Neuroscience,"1,206",4.084,0.005990
ASN Neuro,557,4.017,0.002890
Cardiovascular Diabetology,"2,813",4.015,0.008060
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"8,194",4.014,0.023370
Frontiers in Aging Neuroscience,"1,127",4.000,0.004460
Frontiers in Microbiology,"4,870",3.989,0.023000
BMC GENOMICS,"25,105",3.986,0.086450
Alzheimers Research & Therapy,676,3.979,0.003290
Biogeosciences,"9,204",3.978,0.044170
Oncogenesis,363,3.952,0.001830
Frontiers in Plant Science,"4,004",3.948,0.016280
Plant Genome,578,3.933,0.002040
Journal of Translational Medicine,"5,204",3.930,0.018270
NUCLEAR PHYSICS B,"36,965",3.929,0.033100
Rice,485,3.919,0.002120
Environmental Research Letters,"4,998",3.906,0.026850
Evolutionary Applications,"1,976",3.896,0.009010
Developmental Cognitive Neuroscience,759,3.833,0.004210
GENETICS SELECTION EVOLUTION,"1,928",3.821,0.004130
BMC PLANT BIOLOGY,"6,963",3.813,0.021090
Frontiers in Pharmacology,"1,946",3.802,0.007680
Journal of Statistical Software,"5,407",3.801,0.025710
ARTHRITIS RESEARCH & THERAPY,"10,907",3.753,0.029330
Arabian Journal of Chemistry,945,3.725,0.002330
ACTA DERMATO-VENEREOLOGICA,"4,398",3.720,0.007020
Frontiers in Cellular and Infection Microbiology,"1,122",3.719,0.005040
Journal of Physiotherapy,326,3.708,0.001740
Stem Cell Research,"1,471",3.693,0.006230
Polymers,"1,242",3.681,0.004400
Frontiers in Neuroscience,"3,010",3.656,0.014770
Geoscientific Model Development,"1,805",3.654,0.012390
Molecular Pain,"2,709",3.654,0.010310
Biomedical Optics Express,"3,804",3.648,0.016330
Cell and Bioscience,458,3.630,0.002030
Frontiers in Human Neuroscience,"6,818",3.626,0.031130
NEURAL PLASTICITY,"1,256",3.582,0.004240
Frontiers in Neural Circuits,"1,492",3.568,0.009190
NEW JOURNAL OF PHYSICS,"21,561",3.558,0.129870
Frontiers in Neuroanatomy,"1,100",3.544,0.005230
Immunity & Ageing,538,3.538,0.001360
HYDROLOGY AND EARTH SYSTEM SCIENCES,"8,855",3.535,0.028450
Frontiers in Physiology,"3,574",3.534,0.015300
Cell Division,543,3.526,0.001850
CANCER SCIENCE,"10,217",3.523,0.025530
Oxidative Medicine and Cellular Longevity,"2,117",3.516,0.007170
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"3,137",3.513,0.006980
OPTICS EXPRESS,"81,379",3.488,0.249510
Blood Cancer Journal,458,3.467,0.002110
Neural Development,957,3.453,0.004090
Parasites & Vectors,"4,150",3.430,0.013180
JOURNAL OF MEDICAL INTERNET RESEARCH,"4,643",3.428,0.013680
Climate of the Past,"2,501",3.382,0.013440
Cell Communication and Signaling,"1,167",3.378,0.005310
Database-The Journal of Biological Databases and Curation,"1,283",3.372,0.006900
Environmental Health,"2,681",3.372,0.010600
BMC EVOLUTIONARY BIOLOGY,"10,569",3.368,0.036830
Stem Cell Research & Therapy,"1,153",3.368,0.004260
BMC CANCER,"15,227",3.362,0.048920
Orphanet Journal of Rare Diseases,"2,952",3.358,0.011140
Viruses-Basel,"2,523",3.353,0.013600
Population Health Metrics,774,3.347,0.004180
Annals of Intensive Care,621,3.311,0.003260
International Journal for Parasitology-Drugs and Drug Resistance,217,3.294,0.000860
Journal of Cancer,781,3.271,0.002860
Frontiers in Behavioral Neuroscience,"2,195",3.270,0.010510
Nutrients,"2,311",3.270,0.009070
Journal of Neurodevelopmental Disorders,551,3.268,0.003000
Frontiers in Neuroinformatics,864,3.261,0.003900
Nutrition & Metabolism,"2,013",3.258,0.006110
ChemistryOpen,194,3.250,0.000830
Protein & Cell,"1,310",3.247,0.006320
MEDIATORS OF INFLAMMATION,"3,882",3.236,0.011630
PLoS One,"332,716",3.234,1.533410
G3-Genes Genomes Genetics,"1,674",3.198,0.009760
Remote Sensing,"3,061",3.180,0.010440
International Journal of Chronic Obstructive Pulmonary Disease,"1,454",3.141,0.004300
MALARIA JOURNAL,"9,231",3.109,0.029250
Plant Methods,"1,198",3.102,0.003800
RESPIRATORY RESEARCH,"4,729",3.093,0.013550
Microbial Biotechnology,"1,198",3.081,0.004810
Aging and Disease,480,3.070,0.002020
Earth System Dynamics,216,3.062,0.001470
Frontiers in Zoology,"1,325",3.051,0.005170
EvoDevo,351,3.034,0.002270
CELLULAR ONCOLOGY,876,3.032,0.002040
Drug Design Development and Therapy,899,3.028,0.003280
JOURNAL OF EPIDEMIOLOGY,"1,698",3.022,0.004300
Toxins,"1,759",2.938,0.006750
Atmospheric Measurement Techniques,"2,886",2.929,0.015890
BMC Biophysics,134,2.892,0.000840
Translational Oncology,944,2.884,0.003980
CELLULAR PHYSIOLOGY AND BIOCHEMISTRY,"4,086",2.875,0.011120
BMC Medical Genomics,"1,603",2.873,0.007450
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"12,460",2.862,0.041520
HYSTRIX-Italian Journal of Mammalogy,339,2.860,0.001040
Marine Drugs,"3,959",2.853,0.011100
International Journal of Clinical and Health Psychology,513,2.850,0.000960
Optical Materials Express,"1,934",2.844,0.008030
Journal of Ginseng Research,592,2.815,0.001390
VETERINARY RESEARCH,"3,579",2.815,0.007540
Stem Cells International,713,2.813,0.002760
JOURNAL OF HEADACHE AND PAIN,"1,360",2.801,0.004010
APL Materials,352,2.789,0.001510
Nanoscale Research Letters,"7,950",2.779,0.025020
ECOLOGY AND SOCIETY,"5,515",2.774,0.014480
ECOLOGY AND SOCIETY,"5,515",2.774,0.014480
Acta Orthopaedica,"7,110",2.771,0.009270
Cancer Cell International,"1,127",2.766,0.002680
JOURNAL OF BIOMEDICAL SCIENCE,"2,717",2.763,0.006950
Express Polymer Letters,"1,938",2.761,0.004550
Beilstein Journal of Organic Chemistry,"3,057",2.757,0.010930
Journal of NeuroEngineering and Rehabilitation,"1,995",2.740,0.005680
BMC MICROBIOLOGY,"7,056",2.729,0.023970
ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,441,2.709,0.001450
Beilstein Journal of Nanotechnology,"1,005",2.670,0.004320
BMC DEVELOPMENTAL BIOLOGY,"2,401",2.667,0.005960
BMC NEUROSCIENCE,"4,101",2.665,0.011670
Nutrition & Diabetes,268,2.654,0.001210
Materials,"3,566",2.651,0.012730
BIOSCIENCE REPORTS,"1,743",2.637,0.003400
BMC INFECTIOUS DISEASES,"7,760",2.613,0.028960
Diagnostic Pathology,"1,866",2.597,0.004680
Nutrition Journal,"2,404",2.597,0.007680
ASIAN JOURNAL OF ANDROLOGY,"2,260",2.596,0.005590
BMB Reports,"1,580",2.595,0.004890
BMC BIOINFORMATICS,"21,091",2.576,0.068930
Frontiers in Psychology,"6,105",2.560,0.029590
Journal of Space Weather and Space Climate,174,2.558,0.000890
Radiation Oncology,"2,889",2.546,0.011960
International Journal of Oral Science,484,2.531,0.001940
NeuroImage-Clinical,518,2.526,0.002260
Journal of Saudi Chemical Society,597,2.523,0.001410
PPAR Research,950,2.509,0.002540
Cancer Medicine,399,2.500,0.001650
Progress of Theoretical and Experimental Physics,587,2.485,0.003490
BMC IMMUNOLOGY,"1,380",2.481,0.004340
Journal of Biological Engineering,457,2.481,0.002520
ALLERGOLOGY INTERNATIONAL,"1,121",2.457,0.002960
International Journal of Health Geographics,"1,638",2.447,0.004770
BMC Systems Biology,"3,499",2.435,0.015250
Journal of Ovarian Research,607,2.428,0.002020
Biology Open,789,2.416,0.005280
MOLECULES,"13,592",2.416,0.037100
BMC Pulmonary Medicine,"1,173",2.404,0.004540
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,883,2.400,0.001830
BMC GENETICS,"2,625",2.397,0.007560
JOURNAL OF VISION,"8,027",2.393,0.026600
BMC GASTROENTEROLOGY,"2,733",2.365,0.008880
INTEGRATIVE CANCER THERAPIES,"1,005",2.361,0.002000
BMC ECOLOGY,657,2.360,0.002240
Infectious Agents and Cancer,457,2.358,0.001740
BMC CELL BIOLOGY,"1,800",2.341,0.005010
Ecology and Evolution,"1,863",2.320,0.009760
OncoTargets and Therapy,737,2.311,0.002700
Gut Pathogens,353,2.281,0.001320
AoB Plants,389,2.273,0.001760
BMJ Open,"4,487",2.271,0.025870
BMC Medical Research Methodology,"4,715",2.270,0.014950
Solid Earth,278,2.270,0.001530
BMC PUBLIC HEALTH,"17,626",2.264,0.068140
Journal of Biomedical Semantics,292,2.262,0.001270
Emerging Microbes & Infections,169,2.258,0.000760
Ecosphere,"1,180",2.255,0.007330
Globalization and Health,708,2.250,0.002900
Globalization and Health,708,2.250,0.002900
Obesity Facts,813,2.245,0.003290
SENSORS,"12,379",2.245,0.034010
Brain and Behavior,368,2.243,0.001700
Ocean Science,"1,069",2.232,0.006110
Reproductive Biology and Endocrinology,"2,929",2.226,0.007760
Lipids in Health and Disease,"2,480",2.219,0.007560
MicrobiologyOpen,294,2.213,0.001420
BMC Psychiatry,"4,024",2.210,0.012630
IEEE Photonics Journal,"1,922",2.209,0.010500
Advances in High Energy Physics,759,2.203,0.003760
Frontiers in Computational Neuroscience,"1,096",2.201,0.005620
Influenza and Other Respiratory Viruses,"1,271",2.201,0.006380
BMC MOLECULAR BIOLOGY,"2,252",2.194,0.005180
BMC Pregnancy and Childbirth,"2,570",2.190,0.009140
Annals of Clinical Microbiology and Antimicrobials,645,2.189,0.001540
Chemistry Central Journal,"1,277",2.187,0.003580
Virology Journal,"5,201",2.181,0.018420
Diabetology & Metabolic Syndrome,626,2.173,0.002300
Journal of Diabetes Research,301,2.164,0.001090
Food & Nutrition Research,384,2.162,0.001450
Chinese Journal of Cancer,981,2.155,0.003040
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,"3,643",2.147,0.006560
Human Genomics,666,2.146,0.002740
Molecular Cytogenetics,432,2.140,0.001780
KIDNEY & BLOOD PRESSURE RESEARCH,"1,067",2.123,0.002620
Health and Quality of Life Outcomes,"4,539",2.120,0.010390
Health and Quality of Life Outcomes,"4,539",2.120,0.010390
Mobile DNA,304,2.114,0.001130
PeerJ,655,2.112,0.002770
SWISS MEDICAL WEEKLY,"2,407",2.086,0.006520
BMC Medical Genetics,"2,623",2.083,0.008430
Clinical Interventions in Aging,"1,381",2.077,0.003450
Nanomaterials,205,2.076,0.000580
Energies,"2,397",2.072,0.008460
CANCER IMAGING,785,2.066,0.002110
International Journal of Environmental Research and Public Health,"4,177",2.063,0.016840
EUROPEAN JOURNAL OF HISTOCHEMISTRY,808,2.042,0.001040
BMC Neurology,"2,447",2.040,0.009790
BMC BIOTECHNOLOGY,"2,450",2.034,0.005970
Allergy Asthma and Clinical Immunology,464,2.032,0.001650
Scandinavian Journal of Trauma Resuscitation & Emergency Medicine,865,2.025,0.004300
BioData Mining,208,2.024,0.000850
Journal of Inflammation-London,781,2.024,0.002690
BMC Complementary and Alternative Medicine,"2,977",2.020,0.006510
Parkinsons Disease,456,2.010,0.002090
International Journal of Medical Sciences,"1,586",2.003,0.004650
Catalysts,220,2.000,0.000800
Journal of Ethnobiology and Ethnomedicine,"1,149",2.000,0.001730
Canadian Journal of Gastroenterology and Hepatology,"1,862",1.981,0.003280
UPSALA JOURNAL OF MEDICAL SCIENCES,628,1.980,0.001630
Nano-Micro Letters,339,1.975,0.001000
Behavioral and Brain Functions,"1,303",1.972,0.003630
Aquaculture Environment Interactions,221,1.964,0.000830
Molecular Imaging,"1,056",1.962,0.002720
International Journal of Endocrinology,970,1.948,0.003920
BMC Pediatrics,"2,285",1.930,0.008490
Global Health Action,853,1.930,0.003490
Global Health Action,853,1.930,0.003490
Radiology and Oncology,429,1.912,0.001240
Journal of the International Society of Sports Nutrition,584,1.908,0.001340
Reproductive Health,628,1.883,0.002480
Reproductive Health,628,1.883,0.002480
Evidence-based Complementary and Alternative Medicine,"6,427",1.880,0.017000
BMC Cardiovascular Disorders,"1,279",1.878,0.004330
Progress in Natural Science-Materials International,"1,801",1.873,0.003420
Epidemics,341,1.870,0.002120
ACTA PALAEONTOLOGICA POLONICA,"1,759",1.866,0.003240
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,"3,337",1.859,0.010990
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,"1,652",1.856,0.002130
BMC Pharmacology & Toxicology,159,1.842,0.000590
BMC Medical Informatics and Decision Making,"1,552",1.830,0.005870
Journal of Diabetes Investigation,502,1.825,0.001820
Health Research Policy and Systems,728,1.810,0.002310
Annals of Thoracic Medicine,370,1.803,0.001060
International Journal for Equity in Health,954,1.801,0.003480
JOURNAL OF RADIATION RESEARCH,"1,919",1.797,0.003980
BIOLOGICAL PROCEDURES ONLINE,400,1.792,0.000910
CULTURAL ANTHROPOLOGY,"1,239",1.789,0.004280
BMC Palliative Care,382,1.779,0.001340
BMC Palliative Care,382,1.779,0.001340
BMC Veterinary Research,"1,727",1.777,0.006360
REVISTA BRASILEIRA DE PSIQUIATRIA,"1,250",1.765,0.002470
REVISTA BRASILEIRA DE PSIQUIATRIA,"1,250",1.765,0.002470
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,"2,571",1.756,0.006590
Gastroenterology Research and Practice,932,1.749,0.003710
Andean Geology,205,1.745,0.000940
Neuropsychiatric Disease and Treatment,"1,568",1.741,0.003700
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,"4,074",1.735,0.013050
Trials,"3,223",1.731,0.015950
Proteome Science,954,1.725,0.003280
BMC MUSCULOSKELETAL DISORDERS,"4,855",1.717,0.016390
BMC HEALTH SERVICES RESEARCH,"6,424",1.712,0.022220
Journal of Sport and Health Science,141,1.712,0.000450
Journal of Sport and Health Science,141,1.712,0.000450
BMC Endocrine Disorders,473,1.710,0.001650
ANNALES GEOPHYSICAE,"5,618",1.709,0.013700
FISHERY BULLETIN,"3,375",1.694,0.001980
BMC Nephrology,"1,321",1.690,0.005530
JOURNAL OF REHABILITATION MEDICINE,"3,798",1.683,0.008930
Journal of Animal Science and Biotechnology,186,1.681,0.000710
BMC Geriatrics,"1,627",1.676,0.005290
BMC Geriatrics,"1,627",1.676,0.005290
Patient Preference and Adherence,757,1.676,0.003000
BMC Family Practice,"1,947",1.669,0.006790
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS,"2,638",1.661,0.011450
Advances in Astronomy,363,1.657,0.002660
INTERNATIONAL JOURNAL OF SPELEOLOGY,399,1.656,0.000900
Human Resources for Health,963,1.647,0.002560
Advances in Cognitive Psychology,277,1.646,0.001020
Conservation & Society,480,1.644,0.001620
Journal of Nanomaterials,"3,125",1.644,0.008910
Harm Reduction Journal,595,1.641,0.001660
Bone & Joint Research,158,1.640,0.000790
Quantitative Economics,142,1.633,0.003610
SAMJ SOUTH AFRICAN MEDICAL JOURNAL,"3,018",1.632,0.004360
Journal of Occupational Medicine and Toxicology,434,1.621,0.001030
GEOCHEMICAL TRANSACTIONS,368,1.615,0.000530
Aquatic Invasions,864,1.613,0.002300
Pediatric Rheumatology,359,1.607,0.001290
European Journal of Psychotraumatology,299,1.602,0.001010
Dermatologic Therapy,"1,361",1.599,0.003080
Current Zoology,652,1.594,0.003270
CELLULAR & MOLECULAR BIOLOGY LETTERS,952,1.593,0.001460
MEMORIAS DO INSTITUTO OSWALDO CRUZ,"5,899",1.592,0.008590
Marine and Coastal Fisheries,360,1.592,0.002170
Biomed Research International,"4,272",1.579,0.012100
FOLIA NEUROPATHOLOGICA,555,1.568,0.000950
INTERNATIONAL JOURNAL OF PHOTOENERGY,"1,743",1.563,0.003930
DISEASE MARKERS,"1,580",1.562,0.003700
AIP Advances,"1,851",1.524,0.008750
Italian Journal of Pediatrics,497,1.523,0.001870
Judgment and Decision Making,"1,167",1.521,0.007090
Pain Research & Management,809,1.518,0.001890
FEBS Open Bio,254,1.515,0.001090
MEDITERRANEAN MARINE SCIENCE,573,1.505,0.001230
Entropy,"1,344",1.502,0.005320
International Journal of Integrated Care,456,1.500,0.001110
International Journal of Integrated Care,456,1.500,0.001110
BMC Medical Ethics,404,1.495,0.001380
BMC Medical Ethics,404,1.495,0.001380
BMC Womens Health,668,1.495,0.002210
BMC Womens Health,668,1.495,0.002210
EUROPEAN JOURNAL OF MEDICAL RESEARCH,"1,208",1.495,0.002670
Chinese Medicine,467,1.490,0.001320
Journal of Hydrology and Hydromechanics,227,1.486,0.000590
Applied Sciences-Basel,145,1.484,0.000710
i-Perception,212,1.482,0.001460
