Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"9,804",94.333,0.048930
ACTA CRYSTALLOGRAPHICA SECTION A,"13,946",54.333,0.046350
NEW ENGLAND JOURNAL OF MEDICINE,"227,679",53.486,0.688350
REVIEWS OF MODERN PHYSICS,"29,872",51.695,0.107060
Annual Review of Immunology,"16,100",49.271,0.062410
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"26,838",38.650,0.185760
NATURE REVIEWS CANCER,"26,729",37.184,0.129790
NATURE GENETICS,"76,301",36.377,0.357450
NATURE,"511,248",36.104,1.735200
NATURE REVIEWS IMMUNOLOGY,"21,080",35.196,0.123810
LANCET,"155,736",33.633,0.378640
CHEMICAL REVIEWS,"88,391",33.036,0.199010
NATURE REVIEWS GENETICS,"18,519",32.745,0.122070
CELL,"167,591",32.406,0.700270
SCIENCE,"469,815",31.377,1.455460
NATURE BIOTECHNOLOGY,"34,523",31.090,0.131590
Nature Nanotechnology,"11,425",30.324,0.094590
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"117,497",30.011,0.308390
NATURE MATERIALS,"32,037",29.920,0.210440
Annual Review of Biochemistry,"18,621",29.742,0.061030
NATURE REVIEWS NEUROSCIENCE,"21,755",29.510,0.111970
NATURE REVIEWS DRUG DISCOVERY,"14,742",28.712,0.067040
PHYSIOLOGICAL REVIEWS,"20,265",28.417,0.048470
Annual Review of Plant Biology,"11,673",28.415,0.026060
Annual Review of Astronomy and Astrophysics,"6,856",27.444,0.021400
CANCER CELL,"17,941",26.925,0.108880
Annual Review of Neuroscience,"11,465",26.756,0.033280
CHEMICAL SOCIETY REVIEWS,"24,951",26.585,0.108040
Nature Photonics,"6,966",26.506,0.063500
Cell Stem Cell,"6,982",25.943,0.066410
NATURE IMMUNOLOGY,"30,335",25.668,0.182670
NATURE MEDICINE,"53,666",25.430,0.180600
IMMUNITY,"31,635",24.221,0.168700
PROGRESS IN POLYMER SCIENCE,"10,825",22.870,0.027290
ENDOCRINE REVIEWS,"13,093",22.469,0.025630
BEHAVIORAL AND BRAIN SCIENCES,"5,902",21.952,0.012610
BEHAVIORAL AND BRAIN SCIENCES,"5,902",21.952,0.012610
ACCOUNTS OF CHEMICAL RESEARCH,"33,869",21.852,0.096920
Annual Review of Genetics,"6,116",21.774,0.029650
LANCET NEUROLOGY,"11,076",21.659,0.061780
ADVANCES IN PHYSICS,"4,193",21.214,0.012240
NATURE METHODS,"12,094",20.721,0.110960
NATURE REVIEWS MICROBIOLOGY,"10,352",20.686,0.070080
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"4,167",19.750,0.009510
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"19,243",19.438,0.057420
NATURE CELL BIOLOGY,"28,409",19.407,0.166080
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"6,842",19.238,0.017360
JOURNAL OF CLINICAL ONCOLOGY,"114,318",18.970,0.397960
PHARMACOLOGICAL REVIEWS,"9,382",18.861,0.017920
