Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"13,722",153.459,0.051360
NEW ENGLAND JOURNAL OF MEDICINE,"245,605",51.658,0.659570
REVIEWS OF MODERN PHYSICS,"35,720",44.982,0.129680
CHEMICAL REVIEWS,"112,596",41.298,0.226740
NATURE REVIEWS GENETICS,"23,358",41.063,0.124110
LANCET,"166,922",39.060,0.361720
NATURE,"554,745",38.597,1.565390
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"31,341",37.162,0.149440
Annual Review of Immunology,"15,963",36.556,0.048600
NATURE MATERIALS,"46,348",35.749,0.228150
NATURE GENETICS,"81,183",35.209,0.307570
NATURE REVIEWS CANCER,"32,628",35.000,0.113230
ADVANCES IN PHYSICS,"4,849",34.294,0.013840
NATURE REVIEWS IMMUNOLOGY,"24,831",33.129,0.110280
NATURE REVIEWS DRUG DISCOVERY,"19,470",33.078,0.065420
NATURE BIOTECHNOLOGY,"38,728",32.438,0.133160
CELL,"178,762",31.957,0.585330
NATURE REVIEWS NEUROSCIENCE,"26,938",31.673,0.093380
Nature Nanotechnology,"21,920",31.170,0.154790
SCIENCE,"508,489",31.027,1.353150
PHYSIOLOGICAL REVIEWS,"22,537",30.174,0.045750
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"121,504",29.978,0.261380
Annual Review of Biochemistry,"19,420",27.681,0.051090
Nature Photonics,"13,993",27.254,0.114200
PROGRESS IN POLYMER SCIENCE,"14,457",26.383,0.031130
NATURE IMMUNOLOGY,"32,465",26.199,0.160010
Annual Review of Pathology-Mechanisms of Disease,"2,322",25.794,0.013430
Cell Stem Cell,"12,593",25.315,0.100260
LANCET ONCOLOGY,"17,005",25.117,0.077680
CHEMICAL SOCIETY REVIEWS,"47,646",24.892,0.179140
CANCER CELL,"22,200",24.755,0.108200
NATURE MEDICINE,"57,350",24.302,0.164020
LANCET NEUROLOGY,"15,160",23.917,0.069930
Annual Review of Plant Biology,"13,438",23.654,0.025020
NATURE METHODS,"19,241",23.565,0.133230
Annual Review of Astronomy and Astrophysics,"8,240",23.333,0.020760
PROGRESS IN MATERIALS SCIENCE,"5,921",23.194,0.015020
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"20,765",22.929,0.042090
NATURE REVIEWS MICROBIOLOGY,"14,473",22.490,0.066630
PHARMACOLOGICAL REVIEWS,"10,331",22.345,0.014850
Living Reviews in Relativity,"1,417",22.333,0.004520
Nature Chemistry,"8,652",21.757,0.054040
Annual Review of Pharmacology and Toxicology,"7,205",21.543,0.014180
ACCOUNTS OF CHEMICAL RESEARCH,"42,112",20.833,0.108320
NATURE CELL BIOLOGY,"32,221",20.761,0.142570
Annual Review of Neuroscience,"12,638",20.614,0.031830
LANCET INFECTIOUS DISEASES,"10,471",19.966,0.040220
IMMUNITY,"32,546",19.795,0.155000
Annual Review of Physiology,"7,914",19.547,0.017550
Nature Physics,"18,004",19.352,0.175650
BEHAVIORAL AND BRAIN SCIENCES,"6,402",18.571,0.009960
BEHAVIORAL AND BRAIN SCIENCES,"6,402",18.571,0.009960
JOURNAL OF CLINICAL ONCOLOGY,"128,679",18.038,0.398170
Annual Review of Cell and Developmental Biology,"8,866",17.983,0.026010
ECOLOGY LETTERS,"17,533",17.949,0.068960
Nano Today,"2,944",17.689,0.015000
Annual Review of Genetics,"6,772",17.436,0.022790
CLINICAL MICROBIOLOGY REVIEWS,"12,055",17.313,0.019730
BRITISH MEDICAL JOURNAL,"81,336",17.215,0.154710
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"9,079",16.417,0.017170
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"24,764",16.238,0.088040
Annual Review of Materials Research,"5,259",16.179,0.013620
TRENDS IN COGNITIVE SCIENCES,"15,717",16.008,0.047070
TRENDS IN COGNITIVE SCIENCES,"15,717",16.008,0.047070
NEURON,"69,526",15.766,0.228190
PSYCHOLOGICAL BULLETIN,"30,814",15.575,0.032380
PSYCHOLOGICAL BULLETIN,"30,814",15.575,0.032380
Nature Reviews Neurology,"2,295",15.518,0.014740
TRENDS IN ECOLOGY & EVOLUTION,"24,279",15.389,0.052090
SURFACE SCIENCE REPORTS,"4,115",15.333,0.008790
MOLECULAR CELL,"47,818",15.280,0.228280
Annual Review of Psychology,"10,635",15.265,0.028100
Annual Review of Psychology,"10,635",15.265,0.028100
PLOS MEDICINE,"14,820",15.253,0.075420
NATURE NEUROSCIENCE,"42,519",15.251,0.155500
CIRCULATION,"152,281",15.202,0.315310
Annual Review of Condensed Matter Physics,624,15.139,0.007230
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"4,767",15.089,0.010290
Nature Reviews Clinical Oncology,"2,768",15.031,0.018260
MOLECULAR PSYCHIATRY,"12,686",14.897,0.042150
ENDOCRINE REVIEWS,"13,166",14.873,0.020490
ADVANCED MATERIALS,"91,952",14.829,0.284600
AMERICAN JOURNAL OF PSYCHIATRY,"42,730",14.721,0.062190
AMERICAN JOURNAL OF PSYCHIATRY,"42,730",14.721,0.062190
Cell Metabolism,"12,432",14.619,0.072190
Annual Review of Medicine,"5,043",14.603,0.014030
Alzheimers & Dementia,"2,907",14.483,0.014770
Nature Climate Change,844,14.472,0.004410
Nature Climate Change,844,14.472,0.004410
GENOME RESEARCH,"28,856",14.397,0.131700
Annual Review of Marine Science,"1,114",14.368,0.008310
JNCI-Journal of the National Cancer Institute,"37,424",14.336,0.076860
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,"12,453",14.103,0.047820
