Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"10,976",101.780,0.045000
NEW ENGLAND JOURNAL OF MEDICINE,"232,068",53.298,0.663830
Annual Review of Immunology,"15,990",52.761,0.051990
REVIEWS OF MODERN PHYSICS,"31,368",43.933,0.116610
CHEMICAL REVIEWS,"103,702",40.197,0.214700
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"29,222",39.123,0.174170
LANCET,"158,906",38.278,0.360950
NATURE REVIEWS GENETICS,"20,384",38.075,0.121320
NATURE REVIEWS CANCER,"28,602",37.545,0.126080
ADVANCES IN PHYSICS,"4,400",37.000,0.014840
NATURE,"526,505",36.280,1.655240
NATURE GENETICS,"76,456",35.532,0.329900
Annual Review of Biochemistry,"18,684",34.317,0.056880
NATURE REVIEWS IMMUNOLOGY,"22,613",33.287,0.119690
NATURE MATERIALS,"39,242",32.841,0.220910
CELL,"171,297",32.403,0.660820
Energy Education Science and Technology,"2,992",31.677,0.001170
SCIENCE,"480,836",31.201,1.411620
NATURE REVIEWS NEUROSCIENCE,"24,316",30.445,0.106120
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"117,668",30.026,0.285660
Nature Photonics,"10,259",29.278,0.093770
NATURE REVIEWS DRUG DISCOVERY,"16,887",29.008,0.069100
CHEMICAL SOCIETY REVIEWS,"35,918",28.760,0.136780
Nature Nanotechnology,"16,581",27.270,0.128580
PHYSIOLOGICAL REVIEWS,"20,735",26.866,0.047260
CANCER CELL,"19,726",26.566,0.114520
Annual Review of Astronomy and Astrophysics,"7,112",26.452,0.021080
NATURE IMMUNOLOGY,"31,436",26.008,0.163360
Annual Review of Plant Biology,"13,134",25.962,0.029600
Annual Review of Neuroscience,"11,948",25.737,0.030540
Cell Stem Cell,"10,145",25.421,0.100820
BEHAVIORAL AND BRAIN SCIENCES,"6,081",25.056,0.010260
BEHAVIORAL AND BRAIN SCIENCES,"6,081",25.056,0.010260
PROGRESS IN POLYMER SCIENCE,"12,408",24.100,0.029600
LANCET NEUROLOGY,"12,969",23.462,0.068990
NATURE BIOTECHNOLOGY,"36,144",23.268,0.129420
LANCET ONCOLOGY,"13,237",22.589,0.069140
NATURE MEDICINE,"54,228",22.462,0.165420
Annual Review of Genetics,"6,212",22.233,0.025150
ACCOUNTS OF CHEMICAL RESEARCH,"39,664",21.640,0.101200
Annual Review of Pharmacology and Toxicology,"7,084",21.639,0.015160
IMMUNITY,"31,337",21.637,0.157100
NATURE REVIEWS MICROBIOLOGY,"12,517",21.182,0.066820
