Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
PLOS BIOLOGY,"9,223",13.501,0.124750
PLOS MEDICINE,"3,725",12.601,0.035790
Molecular Systems Biology,757,9.954,0.008030
PLoS Pathogens,"1,538",9.336,0.015150
PLoS Genetics,"2,634",8.721,0.034290
NUCLEIC ACIDS RESEARCH,"83,534",6.954,0.358970
GENOME BIOLOGY,"8,605",6.589,0.078430
PLoS Computational Biology,"1,490",6.236,0.015900
EMERGING INFECTIOUS DISEASES,"12,943",5.775,0.075530
NEOPLASIA,"3,201",5.674,0.016470
ENVIRONMENTAL HEALTH PERSPECTIVES,"16,326",5.636,0.059550
BMC BIOLOGY,512,5.059,0.005230
ATMOSPHERIC CHEMISTRY AND PHYSICS,"5,074",4.865,0.037040
BREAST CANCER RESEARCH,"2,880",4.371,0.018600
BMC GENOMICS,"3,162",4.180,0.024990
CELLULAR ONCOLOGY,287,4.170,0.001660
Molecular Pain,313,4.127,0.002310
BMC EVOLUTIONARY BIOLOGY,"1,472",4.091,0.013650
Retrovirology,822,4.040,0.006170
ARTHRITIS RESEARCH & THERAPY,"3,748",4.035,0.023540
HEALTH TECHNOLOGY ASSESSMENT,"2,074",3.870,0.010800
CRITICAL CARE,"3,335",3.834,0.017660
JOURNAL OF VISION,"1,981",3.791,0.015330
OPTICS EXPRESS,"19,113",3.709,0.134970
Molecular Cancer,928,3.693,0.006710
RESPIRATORY RESEARCH,"1,723",3.622,0.011250
DNA RESEARCH,"1,421",3.525,0.006220
BMC BIOINFORMATICS,"5,589",3.493,0.046480
BMC MOLECULAR BIOLOGY,468,3.371,0.003540
Microbial Cell Factories,373,3.360,0.000430
BMC DEVELOPMENTAL BIOLOGY,594,3.337,0.004430
Biology Direct,148,3.290,0.001230
NEW JOURNAL OF PHYSICS,"4,176",3.264,0.046890
BMC PLANT BIOLOGY,387,3.232,0.003210
BIOSCIENCE REPORTS,"1,023",3.115,0.002700
BMC CELL BIOLOGY,606,3.092,0.006110
BMC STRUCTURAL BIOLOGY,268,3.062,0.002730
BMC NEUROSCIENCE,"1,015",2.987,0.008260
BMC MICROBIOLOGY,993,2.982,0.007740
JOURNAL OF MEDICAL INTERNET RESEARCH,583,2.953,0.003590
