Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
PLOS BIOLOGY,"6,100",14.101,Not Available
PLOS MEDICINE,"1,998",13.750,Not Available
PLoS Genetics,830,7.671,Not Available
GENOME BIOLOGY,"6,837",7.172,Not Available
NUCLEIC ACIDS RESEARCH,"74,972",6.317,Not Available
PLoS Pathogens,397,6.056,Not Available
ENVIRONMENTAL HEALTH PERSPECTIVES,"14,434",5.861,Not Available
HEALTH TECHNOLOGY ASSESSMENT,"1,893",5.290,Not Available
EMERGING INFECTIOUS DISEASES,"11,057",5.094,Not Available
PLoS Computational Biology,401,4.914,Not Available
NEOPLASIA,"2,301",4.913,Not Available
BMC EVOLUTIONARY BIOLOGY,850,4.455,Not Available
ATMOSPHERIC CHEMISTRY AND PHYSICS,"3,412",4.362,Not Available
BREAST CANCER RESEARCH,"2,294",4.157,Not Available
BMC GENOMICS,"1,644",4.029,Not Available
OPTICS EXPRESS,"13,321",4.009,Not Available
ARTHRITIS RESEARCH & THERAPY,"2,643",3.801,Not Available
NEW JOURNAL OF PHYSICS,"2,940",3.754,Not Available
JOURNAL OF VISION,"1,311",3.753,Not Available
BMC BIOINFORMATICS,"3,309",3.617,Not Available
BMC DEVELOPMENTAL BIOLOGY,322,3.512,Not Available
BMC MOLECULAR BIOLOGY,310,3.500,Not Available
ECOLOGY AND SOCIETY,438,3.204,Not Available
CRITICAL CARE,"1,943",3.116,Not Available
DNA RESEARCH,"1,293",3.066,Not Available
BMC IMMUNOLOGY,272,3.043,Not Available
CELLULAR ONCOLOGY,148,2.979,Not Available
BMC MICROBIOLOGY,635,2.896,Not Available
JOURNAL OF MEDICAL INTERNET RESEARCH,503,2.888,Not Available
BMC NEUROSCIENCE,735,2.775,Not Available
MALARIA JOURNAL,566,2.748,Not Available
BMC BIOTECHNOLOGY,423,2.742,Not Available
BMC CELL BIOLOGY,504,2.742,Not Available
MOLECULAR MEDICINE,"2,078",2.708,Not Available
DISEASE MARKERS,583,2.438,Not Available
BMC CANCER,"1,035",2.359,Not Available
RESPIRATORY RESEARCH,"1,090",2.335,Not Available
JOURNAL OF REHABILITATION MEDICINE,716,2.168,Not Available
Biogeosciences,102,2.125,Not Available
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,511,2.062,Not Available
BMC STRUCTURAL BIOLOGY,180,1.975,Not Available
BMC INFECTIOUS DISEASES,597,1.898,Not Available
GEOCHEMICAL TRANSACTIONS,97,1.857,Not Available
ACTA DERMATO-VENEREOLOGICA,"2,801",1.837,Not Available
COMPUTATIONAL LINGUISTICS,834,1.800,Not Available
COMPUTATIONAL LINGUISTICS,834,1.800,Not Available
