Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"16,130",162.500,0.060300
NEW ENGLAND JOURNAL OF MEDICINE,"257,469",54.420,0.657970
CHEMICAL REVIEWS,"124,463",45.661,0.217410
REVIEWS OF MODERN PHYSICS,"37,647",42.860,0.128640
NATURE,"590,324",42.351,1.603050
Annual Review of Immunology,"16,653",41.392,0.047850
NATURE REVIEWS GENETICS,"26,358",39.794,0.126960
LANCET,"176,528",39.207,0.380610
NATURE BIOTECHNOLOGY,"42,156",39.080,0.143950
NATURE REVIEWS CANCER,"36,052",37.912,0.112070
NATURE REVIEWS DRUG DISCOVERY,"21,454",37.231,0.063180
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"34,124",36.458,0.133740
NATURE MATERIALS,"54,962",36.425,0.200200
NATURE REVIEWS IMMUNOLOGY,"27,024",33.836,0.103390
Nature Nanotechnology,"27,858",33.265,0.156810
CELL,"191,226",33.116,0.599500
SCIENCE,"537,035",31.477,1.275030
NATURE REVIEWS NEUROSCIENCE,"30,120",31.376,0.088870
CHEMICAL SOCIETY REVIEWS,"63,071",30.425,0.213700
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"124,822",30.387,0.250830
Nature Photonics,"18,623",29.958,0.118700
NATURE GENETICS,"81,548",29.648,0.275660
PHYSIOLOGICAL REVIEWS,"23,974",29.041,0.041610
NATURE MEDICINE,"60,002",28.054,0.162920
PROGRESS IN POLYMER SCIENCE,"17,446",26.854,0.030560
Annual Review of Biochemistry,"20,070",26.534,0.049780
NATURE METHODS,"24,560",25.953,0.153040
PROGRESS IN MATERIALS SCIENCE,"6,903",25.870,0.015050
NATURE IMMUNOLOGY,"34,765",24.973,0.142600
LANCET ONCOLOGY,"20,565",24.725,0.093110
SURFACE SCIENCE REPORTS,"4,410",24.562,0.008280
ACCOUNTS OF CHEMICAL RESEARCH,"47,005",24.348,0.111670
Annual Review of Astronomy and Astrophysics,"8,312",24.037,0.022460
CANCER CELL,"24,929",23.893,0.114930
NATURE REVIEWS MICROBIOLOGY,"16,774",23.317,0.068860
Nature Chemistry,"12,440",23.297,0.072060
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"21,386",22.910,0.039430
Annual Review of Neuroscience,"13,345",22.660,0.027760
Cell Stem Cell,"15,492",22.151,0.117630
Annual Review of Pathology-Mechanisms of Disease,"2,767",22.128,0.014400
LANCET NEUROLOGY,"17,534",21.823,0.067120
TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.043750
TRENDS IN COGNITIVE SCIENCES,"18,076",21.147,0.043750
Nature Physics,"20,321",20.603,0.173180
Annual Review of Psychology,"11,810",20.533,0.024470
Annual Review of Psychology,"11,810",20.533,0.024470
Annual Review of Cell and Developmental Biology,"9,224",20.241,0.024830
NATURE CELL BIOLOGY,"34,482",20.058,0.142730
IMMUNITY,"34,787",19.748,0.140250
LANCET INFECTIOUS DISEASES,"11,710",19.446,0.040210
ENDOCRINE REVIEWS,"13,623",19.358,0.020710
Annual Review of Plant Biology,"15,228",18.900,0.025570
PHARMACOLOGICAL REVIEWS,"11,069",18.551,0.017060
Annual Review of Pharmacology and Toxicology,"7,373",18.523,0.012110
Nano Today,"3,855",18.432,0.014650
Annual Review of Genetics,"7,015",18.115,0.024940
ADVANCES IN PHYSICS,"5,026",18.062,0.010190
JOURNAL OF CLINICAL ONCOLOGY,"130,991",17.960,0.371620
Alzheimers & Dementia,"3,821",17.472,0.016000
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"5,978",16.909,0.013070
Cell Metabolism,"15,636",16.747,0.078640
Living Reviews in Relativity,"1,600",16.526,0.006330
Annual Review of Marine Science,"1,628",16.381,0.012390
BMJ-British Medical Journal,"85,434",16.378,0.159940
ALDRICHIMICA ACTA,"1,066",16.333,0.002430
ANNALS OF INTERNAL MEDICINE,"47,309",16.104,0.102560
CLINICAL MICROBIOLOGY REVIEWS,"12,781",16.000,0.019440
NEURON,"71,989",15.982,0.225960
Cancer Discovery,"2,210",15.929,0.017480
Nature Reviews Clinical Oncology,"3,523",15.696,0.022850
Annual Review of Physical Chemistry,"7,570",15.678,0.014980
REPORTS ON PROGRESS IN PHYSICS,"11,421",15.633,0.034440
Annual Review of Materials Research,"5,833",15.629,0.011540
Energy & Environmental Science,"22,428",15.490,0.087240
Annual Review of Medicine,"5,560",15.478,0.014800
ADVANCED MATERIALS,"107,567",15.409,0.275060
TRENDS IN ECOLOGY & EVOLUTION,"26,806",15.353,0.054330
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"79,235",15.343,0.199460
Nature Climate Change,"2,871",15.295,0.021070
Nature Climate Change,"2,871",15.295,0.021070
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"9,547",15.255,0.016230
JNCI-Journal of the National Cancer Institute,"37,903",15.161,0.072420
MOLECULAR PSYCHIATRY,"13,902",15.147,0.039240
NATURE NEUROSCIENCE,"46,095",14.976,0.151230
BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.009650
BEHAVIORAL AND BRAIN SCIENCES,"7,017",14.962,0.009650
CIRCULATION,"158,661",14.948,0.287120
EUROPEAN HEART JOURNAL,"36,613",14.723,0.111000
Annual Review of Physiology,"8,246",14.696,0.015830
MOLECULAR CELL,"52,033",14.464,0.225640
Science Translational Medicine,"9,222",14.414,0.069940
PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.031730
PSYCHOLOGICAL BULLETIN,"34,080",14.392,0.031730
Advanced Energy Materials,"5,433",14.385,0.022040
MOLECULAR BIOLOGY AND EVOLUTION,"34,971",14.308,0.087340
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"23,718",14.137,0.084580
Nature Reviews Neurology,"3,257",14.103,0.018940
Molecular Systems Biology,"7,195",14.099,0.039950
PLOS MEDICINE,"16,975",14.000,0.073660
GASTROENTEROLOGY,"62,445",13.926,0.147160
JOURNAL OF EXPERIMENTAL MEDICINE,"64,191",13.912,0.138660
GENOME RESEARCH,"30,995",13.852,0.142090
FEMS MICROBIOLOGY REVIEWS,"8,827",13.806,0.022510
JOURNAL OF CLINICAL INVESTIGATION,"96,908",13.765,0.193420
ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.054480
ARCHIVES OF GENERAL PSYCHIATRY,"38,622",13.747,0.054480
AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.049170
AMERICAN JOURNAL OF PSYCHIATRY,"43,193",13.559,0.049170
TRENDS IN BIOCHEMICAL SCIENCES,"15,910",13.522,0.037630
TRENDS IN PLANT SCIENCE,"15,367",13.479,0.034240
GUT,"33,059",13.319,0.065230
ASTRONOMY AND ASTROPHYSICS REVIEW,"1,071",13.312,0.006620
ARCHIVES OF INTERNAL MEDICINE,"39,734",13.246,0.085460
Nature Chemical Biology,"12,495",13.217,0.066450
ECOLOGY LETTERS,"20,519",13.042,0.064570
Annual Review of Entomology,"9,546",13.021,0.010450
Annual Review of Microbiology,"9,159",13.018,0.017170
PROGRESS IN LIPID RESEARCH,"4,382",12.963,0.008830
Nature Reviews Endocrinology,"2,753",12.958,0.016090
NANO LETTERS,"103,399",12.940,0.374840
Annual Review of Clinical Psychology,"2,542",12.921,0.009410
Annual Review of Clinical Psychology,"2,542",12.921,0.009410
IMMUNOLOGICAL REVIEWS,"13,018",12.909,0.048950
TRENDS IN NEUROSCIENCES,"18,523",12.902,0.036830
World Psychiatry,"1,459",12.846,0.003770
World Psychiatry,"1,459",12.846,0.003770
Psychological Science in the Public Interest,584,12.833,0.002150
ADVANCED DRUG DELIVERY REVIEWS,"23,820",12.707,0.039330
