Full.Journal.Title	1997	1997_SCIE_SSCI	1998	1998_SCIE_SSCI	1999	1999_SCIE_SSCI	2000	2000_SCIE_SSCI	2001	2001_SCIE_SSCI	2002	2002_SCIE_SSCI	2003	2003_SCIE_SSCI	2004	2004_SCIE_SSCI	2005	2005_SCIE_SSCI	2006	2006_SCIE_SSCI	2007	2007_SCIE_SSCI	2008	2008_SCIE_SSCI	2009	2009_SCIE_SSCI	2010	2010_SCIE_SSCI	2011	2011_SCIE_SSCI	2012	2012_SCIE_SSCI	2013	2013_SCIE_SSCI	2014	2014_SCIE_SSCI	2015	2015_SCIE_SSCI	2016	2016_SCIE_SSCI	2017	2017_SCIE_SSCI
medicinal research reviews	NA	1041	NA	1048	NA	984	NA	982	NA	1096	NA	1197	NA	1485	NA	1730	NA	1883	NA	1958	NA	2196	NA	2426	NA	2737	NA	2903	NA	3096	NA	3297	NA	3511	NA	3542	NA	3710	NA	3939	4174	4174
journal of infectious diseases	NA	26138	NA	28662	NA	29046	NA	29587	NA	31605	NA	30881	NA	30971	NA	32704	NA	34045	NA	35098	NA	35352	NA	37026	NA	38500	NA	40263	NA	42700	NA	42783	NA	44428	NA	44607	NA	45523	NA	45763	45663	45663
journal of clinical psychopharmacology	NA	3198	NA	3343	NA	3466	NA	3532	NA	3363	NA	3750	NA	3931	NA	4365	NA	4510	NA	4436	NA	4552	NA	4744	NA	4683	NA	5005	NA	5078	NA	5057	NA	5206	NA	5321	NA	4982	NA	5316	4928	4928
trends in biotechnology	NA	2243	NA	2570	NA	3194	NA	3294	NA	3647	NA	4028	NA	4475	NA	4923	NA	5540	NA	6018	NA	6457	NA	6997	NA	8118	NA	9026	NA	9581	NA	9833	NA	10767	NA	11427	NA	11974	NA	13211	14746	14746
journal of cell science	NA	13512	NA	15372	NA	16410	NA	18305	NA	18919	NA	20840	NA	23512	NA	26366	NA	28549	NA	30178	NA	32387	NA	34562	NA	36789	NA	38223	NA	38674	NA	40261	NA	40608	NA	42808	NA	41574	NA	42751	42186	42186
aids	NA	8501	NA	9962	NA	10852	NA	12675	NA	13761	NA	14183	NA	15234	NA	17503	NA	18968	NA	18807	NA	19479	NA	20159	NA	19911	NA	21706	NA	23156	NA	23034	NA	22630	NA	22502	NA	20134	NA	20962	20578	20578
molecular medicine	NA	722	NA	1189	NA	1557	1696	1696	1885	1885	2073	2073	2179	2179	2307	2307	2220	2220	2078	2078	2069	2069	2378	2378	2785	2785	2981	2981	3069	3069	3760	3760	4189	4189	4481	4481	4540	4540	4686	4686	5000	5000
annual review of earth and planetary sciences	NA	1115	NA	1324	NA	1375	NA	1439	NA	1465	NA	1534	NA	1854	NA	1971	NA	1973	NA	2313	NA	2653	NA	3009	NA	3860	NA	3896	NA	4024	NA	4653	NA	5457	NA	5801	NA	6179	NA	6688	7379	7379
annual review of fluid mechanics	NA	1906	NA	1963	NA	2266	NA	2360	NA	2696	NA	2753	NA	2820	NA	3162	NA	3418	NA	4047	NA	4329	NA	5239	NA	5639	NA	5982	NA	6234	NA	6750	NA	7538	NA	8177	NA	8878	NA	10259	11622	11622
progress in neurobiology	NA	3614	NA	4333	NA	5026	NA	5640	NA	5926	NA	6630	NA	7047	NA	7665	NA	7863	NA	8091	NA	8385	NA	8746	NA	9014	NA	9720	NA	9985	NA	10714	NA	11310	NA	11430	NA	11877	NA	12163	13065	13065
british medical journal	NA	44864	NA	48788	NA	50603	NA	51530	NA	53650	NA	53723	NA	55159	NA	56807	NA	59516	NA	61517	NA	62151	NA	68464	NA	71175	NA	72217	NA	74759	NA	81336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
radiology	NA	37160	NA	36196	NA	38507	NA	35679	NA	37287	NA	36704	NA	35486	NA	35504	NA	36621	NA	38110	NA	40403	NA	44847	NA	46643	NA	44729	NA	43818	NA	45413	NA	45811	NA	48908	NA	48521	NA	50983	54109	54109
columbia law review	NA	2221	NA	2693	NA	2728	NA	2915	NA	2675	NA	2470	NA	2853	NA	2832	NA	2538	NA	2887	NA	2447	NA	2838	NA	2705	NA	2909	NA	3086	NA	3296	NA	2671	NA	3567	NA	3549	NA	3654	3705	3705
hypertension	NA	15905	NA	16640	NA	18029	NA	18512	NA	19917	NA	20773	NA	21987	NA	21932	NA	22130	NA	24199	NA	26664	NA	28464	NA	28849	NA	29821	NA	30265	NA	32323	NA	34751	NA	34018	NA	34532	NA	35554	36908	36908
molecular pharmacology	NA	15591	NA	16827	NA	16705	NA	16784	NA	16850	NA	17664	NA	18686	NA	18934	NA	17432	NA	18544	NA	18431	NA	21557	NA	21568	NA	22162	NA	21694	NA	20925	NA	21372	NA	20210	NA	19494	NA	18765	18308	18308
atomic data and nuclear data tables	NA	2290	NA	2429	NA	2445	NA	2326	NA	2481	NA	2542	NA	2424	NA	2311	NA	2564	NA	2455	NA	2353	NA	2382	NA	2638	NA	2600	NA	2552	NA	2724	NA	2695	NA	2828	NA	2833	NA	3053	2924	2924
journal of cognitive neuroscience	NA	1500	NA	1985	NA	2387	NA	2695	NA	3708	NA	4036	NA	5009	NA	5578	NA	6709	NA	7778	NA	8848	NA	9746	NA	11863	NA	12437	NA	13811	NA	15264	NA	16472	NA	16870	NA	16535	NA	16713	16920	16920
annual review of psychology	NA	2087	NA	2272	NA	2320	NA	2496	NA	2657	NA	2925	NA	3245	NA	3639	NA	4014	NA	4804	NA	5425	NA	6715	NA	8192	NA	8666	NA	9464	NA	10635	NA	11810	NA	13101	NA	14292	NA	16071	18461	18461
chemistry-a european journal	NA	1559	NA	2777	NA	4087	NA	5924	NA	7948	NA	9771	NA	12620	NA	15127	NA	19127	NA	22414	NA	26261	NA	31230	NA	38981	NA	43745	NA	54127	NA	60788	NA	69020	NA	77915	NA	85791	NA	88886	93574	93574
