Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
MOLECULAR PSYCHIATRY,"7,900",10.900,0.042320
BLOOD,"116,789",10.896,0.469530
MASS SPECTROMETRY REVIEWS,"2,667",10.896,0.011080
ANNUAL REVIEW OF PHYTOPATHOLOGY,"3,760",10.778,0.011310
HEPATOLOGY,"36,232",10.734,0.109520
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,"1,328",10.722,0.011890
ANNUAL REVIEW OF ENTOMOLOGY,"5,641",10.680,0.015360
CURRENT BIOLOGY,"30,816",10.539,0.261260
IMMUNOLOGICAL REVIEWS,"9,097",10.536,0.063700
PROGRESS IN NEUROBIOLOGY,"8,385",10.467,0.025540
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,"9,832",10.340,0.025850
LANCET NEUROLOGY,"4,291",10.169,0.034120
CURRENT OPINION IN GENETICS & DEVELOPMENT,"7,620",10.150,0.057190
CURRENT OPINION IN STRUCTURAL BIOLOGY,"8,278",10.150,0.055530
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"117,993",10.031,0.478360
GUT,"26,196",10.015,0.080030
Molecular Systems Biology,757,9.954,0.008030
TRENDS IN GENETICS,"10,104",9.729,0.060280
BRITISH MEDICAL JOURNAL,"62,151",9.723,0.189310
CIRCULATION RESEARCH,"38,737",9.721,0.149800
PLANT CELL,"27,508",9.653,0.145980
NANO LETTERS,"26,246",9.627,0.207480
TRENDS IN PHARMACOLOGICAL SCIENCES,"9,179",9.610,0.035450
JOURNAL OF CELL BIOLOGY,"67,102",9.598,0.271790
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"394,223",9.598,1.744850
ADVANCES IN PHYSICS,"3,703",9.571,0.010790
TRENDS IN IMMUNOLOGY,"6,001",9.480,0.051960
ANNUAL REVIEW OF FLUID MECHANICS,"4,329",9.471,0.015100
ANNUAL REVIEW OF PHYSICAL CHEMISTRY,"4,698",9.439,0.015230
MOLECULAR & CELLULAR PROTEOMICS,"6,623",9.425,0.046490
TRENDS IN COGNITIVE SCIENCES,"7,525",9.389,0.051200
TRENDS IN COGNITIVE SCIENCES,"7,525",9.389,0.051200
PLoS Pathogens,"1,538",9.336,0.015150
CURRENT OPINION IN IMMUNOLOGY,"7,737",9.325,0.044800
FEMS MICROBIOLOGY REVIEWS,"5,051",9.250,0.018850
CURRENT OPINION IN PLANT BIOLOGY,"5,800",9.189,0.041090
AMERICAN JOURNAL OF PSYCHIATRY,"38,989",9.127,0.117110
AMERICAN JOURNAL OF PSYCHIATRY,"38,989",9.127,0.117110
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"40,181",9.074,0.124490
TRENDS IN PLANT SCIENCE,"7,855",8.995,0.044230
ANNUAL REVIEW OF PUBLIC HEALTH,"2,131",8.978,0.008680
ANNUAL REVIEW OF PUBLIC HEALTH,"2,131",8.978,0.008680
CURRENT OPINION IN NEUROBIOLOGY,"9,197",8.958,0.056610
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"2,074",8.933,0.008550
BIOLOGICAL REVIEWS,"3,711",8.833,0.011490
ANNALS OF NEUROLOGY,"26,880",8.813,0.085410
SYSTEMATIC BIOLOGY,"6,645",8.802,0.032140
PLoS Genetics,"2,634",8.721,0.034290
ANNUAL REVIEW OF NUTRITION,"3,467",8.689,0.010900
EMBO JOURNAL,"74,734",8.662,0.340930
BRAIN,"27,746",8.568,0.099590
COORDINATION CHEMISTRY REVIEWS,"17,502",8.568,0.053530
BIOLOGICAL PSYCHIATRY,"25,479",8.456,0.103440
ARCHIVES OF INTERNAL MEDICINE,"30,282",8.391,0.111490
DIABETES,"40,379",8.261,0.164250
CELL DEATH AND DIFFERENTIATION,"8,756",8.254,0.057180
ADVANCED DRUG DELIVERY REVIEWS,"9,920",8.224,0.035210
Nature Clinical Practice Oncology,875,8.217,0.007430
ECOLOGY LETTERS,"6,804",8.204,0.064440
ADVANCED MATERIALS,"39,822",8.191,0.194210
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"6,703",8.147,0.024940
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,"1,124",8.121,0.005630
ECOLOGICAL MONOGRAPHS,"7,038",8.117,0.016180
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"25,601",8.115,0.080870
CLINICAL PHARMACOLOGY & THERAPEUTICS,"10,359",8.033,0.021050
PHARMACOLOGY & THERAPEUTICS,"7,351",7.968,0.024830
EUROPEAN HEART JOURNAL,"17,049",7.924,0.088360
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"16,656",7.898,0.092140
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"295,465",7.885,0.950190
DIABETES CARE,"35,824",7.851,0.135640
Obesity Reviews,"1,767",7.821,0.008920
HUMAN MOLECULAR GENETICS,"25,423",7.806,0.146030
PSYCHOLOGICAL REVIEW,"15,541",7.803,0.023620
PSYCHOLOGICAL REVIEW,"15,541",7.803,0.023620
ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES,"2,653",7.732,0.013390
PROGRESS IN RETINAL AND EYE RESEARCH,"2,190",7.725,0.008060
ARTHRITIS AND RHEUMATISM,"40,724",7.677,0.130660
CANCER RESEARCH,"119,174",7.672,0.436810
ADVANCES IN CATALYSIS,"1,443",7.667,0.001730
NATURAL PRODUCT REPORTS,"3,063",7.667,0.012340
CURRENT OPINION IN MICROBIOLOGY,"4,990",7.654,0.033820
TRENDS IN MICROBIOLOGY,"5,700",7.618,0.030810
TRENDS IN BIOTECHNOLOGY,"6,457",7.610,0.025380
CURRENT OPINION IN CHEMICAL BIOLOGY,"5,996",7.588,0.034990
QUARTERLY REVIEWS OF BIOPHYSICS,"1,914",7.556,0.006920
STEM CELLS,"7,293",7.531,0.037450
ADVANCES IN CANCER RESEARCH,"1,863",7.524,0.005770
SEMINARS IN CANCER BIOLOGY,"3,211",7.510,0.018020
ADVANCED FUNCTIONAL MATERIALS,"8,320",7.496,0.061240
JOURNAL OF NEUROSCIENCE,"112,914",7.490,0.488240
EMBO REPORTS,"7,129",7.450,0.071400
ANNALS OF SURGERY,"26,116",7.446,0.067390
MOLECULAR ASPECTS OF MEDICINE,"1,291",7.386,0.006200
CURRENT OPINION IN BIOTECHNOLOGY,"6,017",7.370,0.028790
ADVANCES IN INSECT PHYSIOLOGY,337,7.333,0.000600
DEVELOPMENT,"46,024",7.293,0.219920
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"1,955",7.264,0.008950
MEDICINAL RESEARCH REVIEWS,"2,196",7.264,0.007880
HUMAN REPRODUCTION UPDATE,"2,965",7.257,0.013150
TRENDS IN MOLECULAR MEDICINE,"3,762",7.244,0.029210
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"27,035",7.221,0.114700
TRENDS IN ENDOCRINOLOGY AND METABOLISM,"3,762",7.195,0.020970
HYPERTENSION,"26,664",7.194,0.084060
REVIEWS IN MEDICAL VIROLOGY,"1,146",7.174,0.006160
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"22,501",7.111,0.103000
CANADIAN MEDICAL ASSOCIATION JOURNAL,"8,324",7.067,0.028930
SEMINARS IN IMMUNOLOGY,"2,527",7.000,0.017330
AMERICAN PSYCHOLOGIST,"10,941",6.967,0.019110
NUCLEIC ACIDS RESEARCH,"83,534",6.954,0.358970
PHYSIOLOGY,979,6.954,0.008870
PHYSICAL REVIEW LETTERS,"282,787",6.944,1.268040
LEUKEMIA,"13,127",6.924,0.056200
REVIEWS OF GEOPHYSICS,"4,582",6.900,0.011760
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"1,801",6.807,0.011630
FASEB JOURNAL,"32,421",6.791,0.130420
DRUG DISCOVERY TODAY,"4,779",6.761,0.026680
PLANT JOURNAL,"21,402",6.751,0.108970
CLINICAL INFECTIOUS DISEASES,"32,236",6.750,0.134810
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,"2,149",6.667,0.004900
JOURNAL OF HEPATOLOGY,"15,155",6.642,0.051540
AMERICAN JOURNAL OF CLINICAL NUTRITION,"34,225",6.603,0.088280
GENOME BIOLOGY,"8,605",6.589,0.078430
TRAFFIC,"4,089",6.533,0.038730
PROGRESS IN SURFACE SCIENCE,"1,619",6.522,0.005960
CEREBRAL CORTEX,"11,408",6.519,0.057770
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,"3,088",6.482,0.022150
FRONTIERS IN NEUROENDOCRINOLOGY,"1,429",6.481,0.004360
BRAIN RESEARCH REVIEWS,"6,628",6.477,0.019830
ONCOGENE,"52,737",6.440,0.268730
MOLECULAR BIOLOGY AND EVOLUTION,"19,138",6.438,0.079400
DRUG RESISTANCE UPDATES,"1,156",6.435,0.005130
AMERICAN JOURNAL OF TRANSPLANTATION,"8,716",6.423,0.055900
MOLECULAR AND CELLULAR BIOLOGY,"69,609",6.420,0.368280
ANNALS OF THE RHEUMATIC DISEASES,"14,957",6.411,0.054780
Small,"2,696",6.408,0.020110
ASTROPHYSICAL JOURNAL,"172,555",6.405,0.556050
TOPICS IN CURRENT CHEMISTRY,"4,157",6.394,0.020680
CURRENT OPINION IN PHARMACOLOGY,"2,924",6.390,0.020490
JOURNAL OF CELL SCIENCE,"32,387",6.383,0.192630
PLANT PHYSIOLOGY,"45,591",6.367,0.152960
AGEING RESEARCH REVIEWS,923,6.365,0.007220
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"2,225",6.333,0.003580
STROKE,"36,787",6.296,0.119010
CRITICAL CARE MEDICINE,"24,549",6.283,0.079320
HUMAN MUTATION,"7,019",6.273,0.041840
ADVANCES IN IMMUNOLOGY,"2,222",6.264,0.007170
BIOMATERIALS,"32,942",6.262,0.119500
CLINICAL CANCER RESEARCH,"40,680",6.250,0.202230
PLoS Computational Biology,"1,490",6.236,0.015900
THORAX,"13,779",6.226,0.043950
Journal of Sexual Medicine,"1,990",6.199,0.005970
CURRENT OPINION IN LIPIDOLOGY,"2,961",6.194,0.013870
NEUROPSYCHOPHARMACOLOGY,"12,404",6.157,0.055430
HUMAN BRAIN MAPPING,"5,685",6.151,0.023740
CARDIOVASCULAR RESEARCH,"15,708",6.127,0.065760
AMERICAN JOURNAL OF GASTROENTEROLOGY,"22,933",6.101,0.067890
JOURNAL OF IMMUNOLOGY,"119,897",6.068,0.492060
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,"4,062",6.067,0.033600
JOURNAL OF INFECTIOUS DISEASES,"35,352",6.035,0.129480
MOLECULAR BIOLOGY OF THE CELL,"24,223",6.028,0.177160
NEUROLOGY,"62,562",6.014,0.188110
JOURNAL OF BONE AND MINERAL RESEARCH,"18,006",6.004,0.058450
ASTRONOMY AND ASTROPHYSICS REVIEW,432,6.000,0.001940
MOLECULAR INTERVENTIONS,867,6.000,0.006420
JOURNAL OF THROMBOSIS AND HAEMOSTASIS,"6,528",5.947,0.044430
ADVANCES IN POLYMER SCIENCE,"3,629",5.930,0.012860
Nano Today,114,5.929,0.000650
STUDIES IN MYCOLOGY,754,5.923,0.002980
BLOOD REVIEWS,"1,011",5.922,0.005390
JOURNAL OF NUCLEAR MEDICINE,"16,005",5.915,0.048280
GASTROINTESTINAL ENDOSCOPY,"14,276",5.888,0.038820
MOLECULAR THERAPY,"7,190",5.862,0.039770
HARVARD LAW REVIEW,"4,136",5.859,0.010130
AGING CELL,"1,343",5.854,0.012170
SCHIZOPHRENIA BULLETIN,"5,672",5.843,0.013810
