Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
PLOS MEDICINE,"10,370",15.617,0.083100
Living Reviews in Relativity,"1,093",12.625,0.005580
PLOS BIOLOGY,"18,454",12.472,0.159930
Molecular Systems Biology,"3,877",9.667,0.032330
EUROPEAN CELLS & MATERIALS,"1,005",9.650,0.002970
PLoS Genetics,"13,327",9.543,0.147200
PLoS Pathogens,"10,833",9.079,0.083010
EMBO Molecular Medicine,324,8.833,0.002280
NUCLEIC ACIDS RESEARCH,"100,444",7.836,0.326950
GENOME BIOLOGY,"14,195",6.885,0.076460
EMERGING INFECTIOUS DISEASES,"20,276",6.859,0.073700
ENVIRONMENTAL HEALTH PERSPECTIVES,"26,174",6.087,0.062060
Orphanet Journal of Rare Diseases,960,5.933,0.005800
MOLECULAR MEDICINE,"2,981",5.908,0.008610
BREAST CANCER RESEARCH,"5,729",5.785,0.027710
Journal of Neuroinflammation,"1,148",5.785,0.005550
BMC Medicine,"1,244",5.750,0.007460
PLoS Computational Biology,"6,849",5.515,0.060390
NEOPLASIA,"5,038",5.476,0.020180
Molecular Neurodegeneration,621,5.361,0.003770
ATMOSPHERIC CHEMISTRY AND PHYSICS,"14,776",5.309,0.071890
Retrovirology,"2,208",5.236,0.012160
BMC BIOLOGY,"1,709",5.203,0.012350
Evolutionary Applications,472,5.145,0.003060
International Journal of Nanomedicine,996,4.976,0.004410
Particle and Fibre Toxicology,694,4.906,0.003470
DNA RESEARCH,"1,591",4.754,0.005560
PLoS Neglected Tropical Diseases,"2,020",4.752,0.011400
Epigenetics & Chromatin,139,4.731,0.001580
JOURNAL OF MEDICAL INTERNET RESEARCH,"1,559",4.663,0.005870
CRITICAL CARE,"7,261",4.595,0.032380
Microbial Cell Factories,"1,115",4.544,0.004820
PLoS One,"42,795",4.411,0.319570
ARTHRITIS RESEARCH & THERAPY,"6,728",4.357,0.031530
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"1,364",4.328,0.006860
BMC GENOMICS,"10,871",4.206,0.065900
HEALTH TECHNOLOGY ASSESSMENT,"3,398",4.197,0.012420
Molecular Pain,"1,139",4.148,0.007990
Biotechnology for Biofuels,210,4.146,0.001060
Cell Division,368,4.091,0.003480
BMC PLANT BIOLOGY,"2,110",4.085,0.010470
Frontiers in Neural Circuits,135,3.960,0.001610
NEW JOURNAL OF PHYSICS,"11,644",3.849,0.098490
ASN Neuro,109,3.833,0.000670
Molecular Cancer,"2,456",3.779,0.012300
BMC Medical Genomics,545,3.766,0.003680
OPTICS EXPRESS,"46,642",3.753,0.232000
Biology Direct,748,3.737,0.006240
STUDIES IN MYCOLOGY,923,3.710,0.002370
BMC EVOLUTIONARY BIOLOGY,"5,700",3.702,0.039550
Cryosphere,180,3.641,0.001350
Frontiers in Cellular Neuroscience,104,3.588,0.000590
Biogeosciences,"2,258",3.587,0.016830
BMC Systems Biology,"1,212",3.565,0.007840
Journal of Translational Medicine,"1,345",3.508,0.006940
MALARIA JOURNAL,"4,012",3.489,0.018550
Marine Drugs,535,3.471,0.001850
Neural Development,388,3.395,0.004960
ECOLOGY AND SOCIETY,"2,274",3.310,0.009630
ECOLOGY AND SOCIETY,"2,274",3.310,0.009630
Plant Methods,352,3.277,0.002470
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"1,741",3.226,0.007820
International Journal of Biological Sciences,720,3.215,0.004210
BMC MOLECULAR BIOLOGY,"1,705",3.188,0.009990
CELLULAR ONCOLOGY,502,3.175,0.002850
International Journal of Behavioral Nutrition and Physical Activity,"1,318",3.169,0.006900
Molecular Imaging,"1,042",3.169,0.003630
BMC CANCER,"5,847",3.153,0.029160
BMC NEUROSCIENCE,"2,528",3.091,0.013800
Environmental Research Letters,888,3.049,0.008120
BMC BIOINFORMATICS,"12,654",3.029,0.080480
BMC IMMUNOLOGY,799,3.000,0.004190
COMPUTATIONAL LINGUISTICS,"1,320",2.971,0.002320
COMPUTATIONAL LINGUISTICS,"1,320",2.971,0.002320
Evidence-based Complementary and Alternative Medicine,"1,189",2.964,0.004290
BMC MICROBIOLOGY,"3,159",2.960,0.018110
Journal of Hematology & Oncology,260,2.934,0.000910
Dose-Response,289,2.895,0.001140
BMC Psychiatry,"1,299",2.891,0.006140
BMC BIOTECHNOLOGY,"1,496",2.859,0.007090
RESPIRATORY RESEARCH,"2,812",2.859,0.013680
JOURNAL OF VISION,"4,404",2.826,0.021380
BMC INFECTIOUS DISEASES,"3,052",2.825,0.015590
