Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
ANNUAL REVIEW OF IMMUNOLOGY,"13,191",46.233,Not Available
CA-A CANCER JOURNAL FOR CLINICIANS,"2,750",35.933,Not Available
ANNUAL REVIEW OF BIOCHEMISTRY,"16,413",31.639,Not Available
PHYSIOLOGICAL REVIEWS,"12,222",30.061,Not Available
NATURE GENETICS,"42,900",29.600,Not Available
CELL,"146,225",29.219,Not Available
NEW ENGLAND JOURNAL OF MEDICINE,"139,337",29.065,Not Available
NATURE,"315,640",27.955,Not Available
NATURE MEDICINE,"28,481",27.906,Not Available
ANNUAL REVIEW OF NEUROSCIENCE,"7,063",27.152,Not Available
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,"6,414",27.106,Not Available
ENDOCRINE REVIEWS,"9,254",26.456,Not Available
PHARMACOLOGICAL REVIEWS,"6,607",23.825,Not Available
SCIENCE,"282,431",23.329,Not Available
ADVANCES IN IMMUNOLOGY,"3,424",23.083,Not Available
NATURE CELL BIOLOGY,"7,016",21.944,Not Available
CURRENT OPINION IN CELL BIOLOGY,"12,563",21.568,Not Available
CHEMICAL REVIEWS,"31,092",21.044,Not Available
GENES & DEVELOPMENT,"43,875",20.880,Not Available
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"4,679",20.795,Not Available
NATURE REVIEWS MOLECULAR CELL BIOLOGY,722,20.556,Not Available
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"3,205",19.179,Not Available
IMMUNITY,"17,694",18.866,Not Available
TRENDS IN CELL BIOLOGY,"6,505",18.135,Not Available
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"71,918",17.569,Not Available
NATURE IMMUNOLOGY,"1,863",17.431,Not Available
ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY,"6,876",17.372,Not Available
BEHAVIORAL AND BRAIN SCIENCES,"3,478",17.312,Not Available
BEHAVIORAL AND BRAIN SCIENCES,"3,478",17.312,Not Available
MOLECULAR CELL,"12,084",16.611,Not Available
PROGRESS IN INORGANIC CHEMISTRY,"1,901",16.500,Not Available
TRENDS IN NEUROSCIENCES,"14,013",16.475,Not Available
ATHEROSCLEROSIS SUPPLEMENTS,349,16.250,Not Available
ADVANCES IN PHYSICS,"3,303",16.200,Not Available
NATURE NEUROSCIENCE,"7,330",15.668,Not Available
JOURNAL OF EXPERIMENTAL MEDICINE,"67,436",15.340,Not Available
ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,"3,281",15.235,Not Available
FRONTIERS IN NEUROENDOCRINOLOGY,"1,260",15.000,Not Available
NATURE REVIEWS NEUROSCIENCE,498,14.353,Not Available
TRENDS IN BIOCHEMICAL SCIENCES,"14,347",14.329,Not Available
ANNUAL REVIEW OF GENETICS,"4,207",14.310,Not Available
JOURNAL OF THE NATIONAL CANCER INSTITUTE,"27,232",14.240,Not Available
NEURON,"34,720",14.153,Not Available
JOURNAL OF CLINICAL INVESTIGATION,"81,014",14.118,Not Available
SURFACE SCIENCE REPORTS,"1,789",14.091,Not Available
PROGRESS IN MATERIALS SCIENCE,"1,009",14.000,Not Available
CURRENT OPINION IN IMMUNOLOGY,"7,662",13.724,Not Available
CURRENT OPINION IN GENETICS & DEVELOPMENT,"6,666",13.619,Not Available
