Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
PLOS BIOLOGY,"12,186",12.683,0.154650
Molecular Systems Biology,"1,741",12.243,0.019510
PLOS MEDICINE,"6,075",12.185,0.057420
PLoS Pathogens,"3,321",9.125,0.030030
PLoS Genetics,"4,900",8.883,0.060830
NUCLEIC ACIDS RESEARCH,"86,787",6.878,0.371090
EMERGING INFECTIOUS DISEASES,"15,259",6.449,0.076730
GENOME BIOLOGY,"9,875",6.153,0.079300
ENVIRONMENTAL HEALTH PERSPECTIVES,"19,757",6.123,0.065300
PLoS Computational Biology,"2,730",5.895,0.030630
Molecular Cancer,"1,429",5.362,0.013750
NEOPLASIA,"3,779",5.191,0.017310
BREAST CANCER RESEARCH,"3,811",5.052,0.022430
HEALTH TECHNOLOGY ASSESSMENT,"2,578",5.010,0.011860
ATMOSPHERIC CHEMISTRY AND PHYSICS,"7,223",4.927,0.052500
BMC BIOLOGY,778,4.734,0.007670
STUDIES IN MYCOLOGY,738,4.625,0.002640
CRITICAL CARE,"4,522",4.553,0.023520
ARTHRITIS RESEARCH & THERAPY,"4,709",4.485,0.025190
EUROPEAN CELLS & MATERIALS,655,4.289,0.003460
PLoS Neglected Tropical Diseases,261,4.172,0.000670
BMC EVOLUTIONARY BIOLOGY,"2,562",4.050,0.021960
Retrovirology,"1,148",4.042,0.007890
BMC PLANT BIOLOGY,807,4.030,0.005570
BMC GENOMICS,"5,076",3.926,0.040710
OPTICS EXPRESS,"28,429",3.880,0.168240
RESPIRATORY RESEARCH,"2,158",3.874,0.012400
BMC BIOINFORMATICS,"8,141",3.781,0.066550
Biology Direct,306,3.724,0.003480
BMC Systems Biology,234,3.706,0.001840
Molecular Pain,485,3.705,0.003550
DNA RESEARCH,"1,461",3.612,0.005160
JOURNAL OF MEDICAL INTERNET RESEARCH,930,3.590,0.004580
Neural Development,126,3.452,0.001590
Biogeosciences,747,3.445,0.006210
NEW JOURNAL OF PHYSICS,"5,924",3.440,0.057970
MOLECULAR MEDICINE,"2,378",3.411,0.004920
CELLULAR ONCOLOGY,352,3.383,0.002290
Microbial Cell Factories,572,3.338,0.003220
Molecular Imaging,788,3.329,0.004740
BMC Medicine,622,3.276,0.004790
Journal of Neuroinflammation,509,3.206,0.002990
Health and Quality of Life Outcomes,"1,495",3.200,0.010030
Health and Quality of Life Outcomes,"1,495",3.200,0.010030
BMC CELL BIOLOGY,746,3.157,0.006410
Orphanet Journal of Rare Diseases,314,3.143,0.002290
BMC CANCER,"2,923",3.087,0.017680
BMC DEVELOPMENTAL BIOLOGY,"1,063",3.079,0.007980
Nutrition & Metabolism,512,3.000,0.002800
JOURNAL OF VISION,"2,525",2.950,0.017610
Journal of Translational Medicine,758,2.917,0.005190
MALARIA JOURNAL,"1,555",2.913,0.009160
BMC MICROBIOLOGY,"1,358",2.877,0.008590
ECOLOGY AND SOCIETY,953,2.855,0.006000
BMC NEUROSCIENCE,"1,362",2.850,0.008990
BMC MOLECULAR BIOLOGY,805,2.810,0.005450
BMC Neurology,440,2.784,0.002530
BMC Medical Genetics,801,2.762,0.005920
BMC IMMUNOLOGY,426,2.661,0.002640
COMPUTATIONAL LINGUISTICS,"1,286",2.656,0.002490
COMPUTATIONAL LINGUISTICS,"1,286",2.656,0.002490
Reproductive Biology and Endocrinology,"1,184",2.634,0.007070
Climate of the Past,196,2.542,0.002850
Proteome Science,187,2.537,0.001090
BMC INFECTIOUS DISEASES,"1,546",2.536,0.010190
BIOSCIENCE REPORTS,"1,128",2.525,0.002120
ACTA DERMATO-VENEREOLOGICA,"3,545",2.456,0.004540
BMC BIOTECHNOLOGY,795,2.383,0.005120
BMC GENETICS,"1,118",2.350,0.008870
DISEASE MARKERS,659,2.303,0.002750
INTEGRATIVE CANCER THERAPIES,423,2.264,0.001930
GEOLOGICA ACTA,267,2.245,0.002200
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,948,2.210,0.003980
HYDROLOGY AND EARTH SYSTEM SCIENCES,"1,632",2.167,0.008290
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,850,2.152,0.005060
BMC GASTROENTEROLOGY,495,2.136,0.002450
GEOCHEMICAL TRANSACTIONS,213,2.125,0.001540
Journal of NeuroEngineering and Rehabilitation,338,2.085,0.001750
Algorithms for Molecular Biology,81,2.081,0.000770
Lipids in Health and Disease,294,2.062,0.001590
ASIAN JOURNAL OF ANDROLOGY,969,2.059,0.003130
Radiation Oncology,205,2.043,0.001260
BMC PUBLIC HEALTH,"2,259",2.029,0.015380
BMC STRUCTURAL BIOLOGY,420,2.000,0.003670
BMC MUSCULOSKELETAL DISORDERS,986,1.987,0.005970
JOURNAL OF REHABILITATION MEDICINE,"1,420",1.983,0.006030
Evidence-based Complementary and Alternative Medicine,620,1.954,0.002140
JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES,883,1.887,0.003060
INDIAN JOURNAL OF MEDICAL RESEARCH,"2,458",1.883,0.005920
Virology Journal,724,1.882,0.005090
SENSORS,"1,179",1.870,0.003830
Biomedical Engineering Online,424,1.800,0.002300
Physical Review Special Topics-Physics Education Research,82,1.781,0.000380
Physical Review Special Topics-Physics Education Research,82,1.781,0.000380
Acta Orthopaedica,"5,870",1.762,0.009130
Trials,144,1.743,0.000990
Nanoscale Research Letters,207,1.731,0.001300
Environmental Research Letters,120,1.719,0.001290
LANGUAGE LEARNING & TECHNOLOGY,270,1.700,0.000830
BMC HEALTH SERVICES RESEARCH,"1,131",1.680,0.007370
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,538,1.669,0.002990
ANNALES GEOPHYSICAE,"4,539",1.660,0.021340
International Journal of Nanomedicine,227,1.642,0.001150
JOURNAL OF EPIDEMIOLOGY,977,1.642,0.003420
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,"1,766",1.611,0.006470
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS,"1,215",1.551,0.005560
Journal of Postgraduate Medicine,910,1.538,0.002370
Geospatial Health,54,1.472,0.000190
JOURNAL OF RADIATION RESEARCH,947,1.462,0.003160
MEMORIAS DO INSTITUTO OSWALDO CRUZ,"4,080",1.450,0.008280
