Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
Living Reviews in Relativity,"1,417",22.333,0.004520
PLOS MEDICINE,"14,820",15.253,0.075420
Living Reviews in Solar Physics,498,13.833,0.002630
PLOS BIOLOGY,"22,908",12.690,0.133900
Molecular Systems Biology,"6,335",11.340,0.043130
GENOME BIOLOGY,"17,478",10.288,0.085530
Nature Communications,"7,322",10.015,0.058800
Particle and Fibre Toxicology,"1,471",9.178,0.005570
NPG Asia Materials,301,9.042,0.001560
PLoS Genetics,"22,212",8.517,0.173350
NUCLEIC ACIDS RESEARCH,"118,715",8.278,0.323620
PLoS Pathogens,"19,743",8.136,0.119080
Theranostics,428,7.806,0.000940
EMBO Molecular Medicine,"1,290",7.795,0.008270
ENVIRONMENTAL HEALTH PERSPECTIVES,"30,111",7.260,0.059520
Physical Review X,414,6.711,0.003310
BMC Medicine,"2,691",6.679,0.012780
BMC BIOLOGY,"2,631",6.531,0.015120
STUDIES IN MYCOLOGY,"1,237",6.231,0.003170
Cell Death & Disease,"1,481",6.044,0.006430
EMERGING INFECTIOUS DISEASES,"21,567",5.993,0.065240
BREAST CANCER RESEARCH,"7,547",5.872,0.028250
Retrovirology,"3,084",5.657,0.012790
mBio,"1,260",5.621,0.007720
Biotechnology for Biofuels,903,5.552,0.004060
ATMOSPHERIC CHEMISTRY AND PHYSICS,"22,919",5.510,0.097800
Eurosurveillance,"5,236",5.491,0.023940
NEOPLASIA,"5,715",5.470,0.018050
Frontiers in Aging Neuroscience,392,5.224,0.001980
Molecular Cancer,"4,995",5.134,0.021380
Cell Communication and Signaling,520,5.093,0.002890
Geoscientific Model Development,626,5.030,0.004540
Disease Models & Mechanisms,"1,212",4.959,0.008220
Journal of Statistical Software,"2,629",4.910,0.017340
PLoS Computational Biology,"11,758",4.867,0.078270
Genome Biology and Evolution,"1,284",4.759,0.009590
Frontiers in Behavioral Neuroscience,989,4.758,0.006080
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"7,122",4.753,0.028770
CRITICAL CARE,"10,657",4.718,0.039640
PLoS Neglected Tropical Diseases,"6,012",4.569,0.029150
EUROPEAN CELLS & MATERIALS,"1,620",4.558,0.005010
Frontiers in Cellular Neuroscience,315,4.469,0.002500
MOLECULAR MEDICINE,"3,760",4.469,0.010660
Journal of Hematology & Oncology,738,4.458,0.002970
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,"1,841",4.435,0.007040
DNA RESEARCH,"1,998",4.425,0.005330
BMC GENOMICS,"18,388",4.397,0.085170
Alzheimers Research & Therapy,234,4.390,0.001310
BMC PLANT BIOLOGY,"4,573",4.354,0.019470
Journal of Neuroinflammation,"2,590",4.351,0.009510
Orphanet Journal of Rare Diseases,"1,602",4.315,0.008040
ARTHRITIS RESEARCH & THERAPY,"8,883",4.302,0.031380
Cardiovascular Diabetology,"1,712",4.209,0.004630
Molecular Brain,643,4.202,0.003940
Database-The Journal of Biological Databases and Curation,522,4.200,0.003480
Epigenetics & Chromatin,305,4.190,0.002650
Evolutionary Applications,928,4.153,0.005450
Journal of Advances in Modeling Earth Systems,213,4.114,0.002160
ALTEX-Alternatives to Animal Experimentation,455,4.093,0.000880
NEW JOURNAL OF PHYSICS,"17,245",4.063,0.126230
Frontiers in Neuroanatomy,579,4.058,0.004340
HEALTH TECHNOLOGY ASSESSMENT,"4,193",4.028,0.012190
Molecular Neurodegeneration,"1,304",4.007,0.006940
Marine Drugs,"1,871",3.978,0.006760
Journal of the International AIDS Society,605,3.936,0.004020
EvoDevo,149,3.914,0.001200
Genome Medicine,905,3.906,0.006230
MEDIATORS OF INFLAMMATION,"1,999",3.882,0.005530
Frontiers in Zoology,845,3.871,0.003880
Molecular Pain,"1,956",3.774,0.009930
Cryosphere,868,3.770,0.006880
JOURNAL OF MEDICAL INTERNET RESEARCH,"2,421",3.768,0.007580
Biogeosciences,"4,590",3.754,0.027810
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"2,352",3.752,0.009060
PLoS One,"133,246",3.730,0.778440
Stem Cell Research & Therapy,280,3.652,0.001180
RESPIRATORY RESEARCH,"3,894",3.642,0.013190
ASN Neuro,298,3.638,0.001520
Open Biology,71,3.625,0.000230
Journal of Cheminformatics,315,3.590,0.001750
HYDROLOGY AND EARTH SYSTEM SCIENCES,"5,365",3.587,0.020480
Environmental Research Letters,"2,170",3.582,0.015490
International Journal of Behavioral Nutrition and Physical Activity,"2,551",3.577,0.011210
Climate of the Past,"1,392",3.556,0.011290
Neural Development,727,3.549,0.006050
OPTICS EXPRESS,"62,765",3.546,0.252130
Advances in High Energy Physics,200,3.500,0.001380
GENETICS SELECTION EVOLUTION,"1,657",3.494,0.003350
ACTA DERMATO-VENEREOLOGICA,"4,131",3.487,0.007610
Drug Design Development and Therapy,377,3.486,0.001720
Cell Division,525,3.471,0.003200
BMC Medical Genomics,"1,106",3.466,0.006820
International Journal of Nanomedicine,"3,051",3.463,0.008740
Journal of Translational Medicine,"2,799",3.459,0.011330
Journal of Neurodevelopmental Disorders,313,3.448,0.002140
VETERINARY RESEARCH,"3,246",3.426,0.007060
Molecular Imaging,"1,090",3.408,0.003050
MALARIA JOURNAL,"6,532",3.400,0.024140
Oxidative Medicine and Cellular Longevity,535,3.393,0.001800
BMC CANCER,"10,306",3.333,0.042860
Frontiers in Neural Circuits,376,3.333,0.003410
Microbial Cell Factories,"2,054",3.306,0.006670
BMC EVOLUTIONARY BIOLOGY,"8,703",3.285,0.048410
Parasites & Vectors,"1,558",3.246,0.005260
Microbial Biotechnology,771,3.214,0.003550
Atmospheric Measurement Techniques,"1,315",3.205,0.007300
TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,"3,170",3.197,0.009250
Biomedical Optics Express,"1,552",3.176,0.007110
International Journal of Biological Sciences,"1,492",3.168,0.006070
Nutrition & Metabolism,"1,288",3.156,0.004310
BMC MICROBIOLOGY,"5,335",3.104,0.023490
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,"2,263",3.066,0.007180
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,"1,177",3.060,0.001390
BMC INFECTIOUS DISEASES,"5,121",3.025,0.022270
BMC BIOINFORMATICS,"17,337",3.024,0.080840
BMC NEUROSCIENCE,"3,436",3.000,0.014000
Cell and Bioscience,155,3.000,0.000620
BMC Systems Biology,"2,494",2.982,0.015180
Translational Oncology,502,2.943,0.002620
Scientific Reports,"1,158",2.927,0.005640
Frontiers in Human Neuroscience,"1,254",2.906,0.008140
NEURAL PLASTICITY,644,2.864,0.002770
Population Health Metrics,551,2.835,0.003550
ECOLOGY AND SOCIETY,"3,273",2.831,0.011500
ECOLOGY AND SOCIETY,"3,273",2.831,0.011500
BMC CELL BIOLOGY,"1,686",2.808,0.007530
BMC GENETICS,"2,064",2.808,0.007150
Beilstein Journal of Organic Chemistry,"1,405",2.801,0.005540
BMC MOLECULAR BIOLOGY,"2,122",2.796,0.009630
Behavioral and Brain Functions,"1,055",2.789,0.004560
JOURNAL OF HEADACHE AND PAIN,"1,051",2.779,0.003820
BMC Pulmonary Medicine,772,2.760,0.003460
Gut Pathogens,191,2.738,0.000920
Acta Orthopaedica,"6,772",2.736,0.011130
