Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"8,528",87.925,0.042240
ACTA CRYSTALLOGRAPHICA SECTION A,"14,394",49.926,0.045870
NEW ENGLAND JOURNAL OF MEDICINE,"216,752",47.050,0.672360
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"24,057",42.198,0.190240
ANNUAL REVIEW OF IMMUNOLOGY,"15,517",37.902,0.059600
PHYSIOLOGICAL REVIEWS,"19,371",37.726,0.057100
CHEMICAL REVIEWS,"80,350",35.957,0.209040
NATURE,"483,039",34.480,1.746050
NATURE GENETICS,"69,988",34.284,0.331840
REVIEWS OF MODERN PHYSICS,"27,005",33.145,0.081150
NATURE REVIEWS IMMUNOLOGY,"17,895",32.245,0.128020
CELL,"153,972",31.152,0.698590
LANCET,"152,843",30.758,0.379280
ANNUAL REVIEW OF BIOCHEMISTRY,"17,607",29.875,0.062270
SCIENCE,"444,643",29.747,1.523080
NATURE REVIEWS CANCER,"22,298",29.538,0.125310
NATURE MATERIALS,"24,465",29.504,0.199300
NATURE BIOTECHNOLOGY,"31,564",29.495,0.144720
NATURE REVIEWS DRUG DISCOVERY,"12,276",29.059,0.067300
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"117,090",28.899,0.331600
NATURE REVIEWS GENETICS,"15,425",27.822,0.110360
NATURE MEDICINE,"49,928",27.136,0.193830
NATURE REVIEWS NEUROSCIENCE,"18,553",26.483,0.114250
Nature Nanotechnology,"6,461",26.309,0.061080
NATURE IMMUNOLOGY,"26,973",26.000,0.191090
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,"6,957",25.640,0.022770
CANCER CELL,"15,367",25.288,0.109530
ANNUAL REVIEW OF NEUROSCIENCE,"10,990",24.822,0.044160
PROGRESS IN POLYMER SCIENCE,"8,841",23.753,0.026250
Cell Stem Cell,"4,007",23.563,0.043960
ANNUAL REVIEW OF PLANT BIOLOGY,"10,740",23.460,0.028570
Nature Photonics,"3,468",22.869,0.036060
ANNUAL REVIEW OF PSYCHOLOGY,"8,192",22.750,0.025550
ANNUAL REVIEW OF PSYCHOLOGY,"8,192",22.750,0.025550
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"6,749",22.468,0.018530
IMMUNITY,"27,330",20.589,0.156350
CHEMICAL SOCIETY REVIEWS,"17,601",20.086,0.070820
ENDOCRINE REVIEWS,"12,727",19.761,0.030870
ADVANCES IN PHYSICS,"4,227",19.632,0.009700
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,"8,328",19.571,0.043720
NATURE CELL BIOLOGY,"25,557",19.527,0.176760
Annual Review of Biophysics,490,19.304,0.005770
BEHAVIORAL AND BRAIN SCIENCES,"6,290",19.045,0.012030
BEHAVIORAL AND BRAIN SCIENCES,"6,290",19.045,0.012030
ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,"4,585",18.955,0.017410
ALDRICHIMICA ACTA,999,18.688,0.003820
ACCOUNTS OF CHEMICAL RESEARCH,"30,727",18.203,0.082410
ANNUAL REVIEW OF PHYSIOLOGY,"6,980",18.170,0.022120
LANCET NEUROLOGY,"8,432",18.126,0.051850
JOURNAL OF CLINICAL ONCOLOGY,"104,253",17.793,0.366290
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,"18,855",17.752,0.057660
NATURE REVIEWS MICROBIOLOGY,"8,398",17.644,0.069430
EPIDEMIOLOGIC REVIEWS,"2,259",17.500,0.005720
ANNUAL REVIEW OF PHYSICAL CHEMISTRY,"5,981",17.464,0.016260
Cell Metabolism,"6,462",17.350,0.062180
PHARMACOLOGICAL REVIEWS,"8,937",17.000,0.018810
NATURE METHODS,"8,697",16.874,0.087760
ANNALS OF INTERNAL MEDICINE,"45,184",16.225,0.120080
Nature Chemical Biology,"5,101",16.058,0.048600
PROGRESS IN MATERIALS SCIENCE,"3,808",15.769,0.014530
LANCET INFECTIOUS DISEASES,"6,362",15.583,0.031890
Nature Physics,"7,693",15.491,0.106810
JOURNAL OF CLINICAL INVESTIGATION,"87,133",15.387,0.255580
MOLECULAR PSYCHIATRY,"10,188",15.049,0.048010
CIRCULATION,"145,961",14.816,0.427930
CLINICAL MICROBIOLOGY REVIEWS,"10,034",14.691,0.023380
MOLECULAR CELL,"38,987",14.608,0.300200
JOURNAL OF EXPERIMENTAL MEDICINE,"65,865",14.505,0.231490
LANCET ONCOLOGY,"8,251",14.470,0.042960
NATURE NEUROSCIENCE,"32,677",14.345,0.191090
CURRENT OPINION IN CELL BIOLOGY,"13,559",14.153,0.076450
JOURNAL OF THE NATIONAL CANCER INSTITUTE,"35,795",14.069,0.094640
BRITISH MEDICAL JOURNAL,"71,175",13.660,0.149950
Annual Review of Pathology-Mechanisms of Disease,962,13.500,0.008730
SURFACE SCIENCE REPORTS,"3,411",13.462,0.008960
DEVELOPMENTAL CELL,"14,785",13.363,0.135580
NEURON,"56,161",13.260,0.261820
Nano Today,734,13.237,0.004460
ANNUAL REVIEW OF GENETICS,"5,437",13.235,0.030560
PLOS MEDICINE,"8,425",13.050,0.071550
Cell Host & Microbe,"2,135",13.021,0.020770
PLOS BIOLOGY,"15,699",12.916,0.176220
GASTROENTEROLOGY,"55,276",12.899,0.151640
PSYCHOLOGICAL BULLETIN,"26,149",12.854,0.032860
PSYCHOLOGICAL BULLETIN,"26,149",12.854,0.032860
ANNUAL REVIEW OF MICROBIOLOGY,"7,144",12.804,0.019600
TRENDS IN NEUROSCIENCES,"16,663",12.794,0.056490
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,"21,507",12.771,0.094280
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,"62,350",12.640,0.229530
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"7,417",12.585,0.024880
DRUG RESISTANCE UPDATES,"1,654",12.581,0.005490
AMERICAN JOURNAL OF PSYCHIATRY,"42,193",12.522,0.097150
AMERICAN JOURNAL OF PSYCHIATRY,"42,193",12.522,0.097150
AMERICAN JOURNAL OF HUMAN GENETICS,"34,654",12.303,0.126980
NATURE STRUCTURAL & MOLECULAR BIOLOGY,"19,458",12.273,0.132410
ARCHIVES OF GENERAL PSYCHIATRY,"33,963",12.257,0.080540
ARCHIVES OF GENERAL PSYCHIATRY,"33,963",12.257,0.080540
MATERIALS SCIENCE & ENGINEERING R-REPORTS,"3,938",12.217,0.011090
Molecular Systems Biology,"2,812",12.125,0.026410
TRENDS IN CELL BIOLOGY,"10,222",12.115,0.060930
GENES & DEVELOPMENT,"54,044",12.075,0.267190
FRONTIERS IN NEUROENDOCRINOLOGY,"2,003",12.048,0.006490
ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE,"1,859",11.964,0.008830
ADVANCED DRUG DELIVERY REVIEWS,"14,555",11.957,0.040670
ASTRONOMY AND ASTROPHYSICS REVIEW,605,11.857,0.002760
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,"164,626",11.829,0.527030
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"2,271",11.685,0.009880
TRENDS IN COGNITIVE SCIENCES,"11,626",11.664,0.057060
TRENDS IN COGNITIVE SCIENCES,"11,626",11.664,0.057060
TRENDS IN BIOCHEMICAL SCIENCES,"14,960",11.572,0.053450
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,"1,718",11.568,0.011480
TRENDS IN ECOLOGY & EVOLUTION,"19,073",11.564,0.063710
Materials Today,"2,766",11.452,0.020770
REPORTS ON PROGRESS IN PHYSICS,"8,256",11.444,0.030680
GENOME RESEARCH,"22,094",11.342,0.120390
ANNUAL REVIEW OF ENTOMOLOGY,"6,939",11.271,0.011850
ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,"2,441",11.235,0.008520
COORDINATION CHEMISTRY REVIEWS,"21,971",11.225,0.048680
ANNUAL REVIEW OF PHYTOPATHOLOGY,"4,454",11.212,0.010740
TRENDS IN MOLECULAR MEDICINE,"4,780",11.049,0.027150
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,"3,135",11.024,0.007800
CURRENT BIOLOGY,"37,237",10.992,0.234160
CURRENT OPINION IN IMMUNOLOGY,"8,252",10.881,0.040920
HEPATOLOGY,"41,640",10.840,0.105900
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,"45,203",10.689,0.116770
MASS SPECTROMETRY REVIEWS,"3,068",10.623,0.011190
Living Reviews in Relativity,"1,189",10.600,0.007630
BLOOD,"126,597",10.555,0.445540
CURRENT OPINION IN PLANT BIOLOGY,"7,688",10.333,0.039380
ECOLOGY LETTERS,"10,413",10.318,0.066660
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"2,328",10.216,0.010300
QUARTERLY REVIEWS OF BIOPHYSICS,"2,138",10.200,0.006970
IMMUNOLOGICAL REVIEWS,"10,693",10.050,0.057190
NANO LETTERS,"46,238",9.991,0.274530
ANNUAL REVIEW OF MEDICINE,"4,257",9.940,0.013880
TRENDS IN PLANT SCIENCE,"9,756",9.883,0.038130
MOLECULAR BIOLOGY AND EVOLUTION,"23,784",9.872,0.090270
ARCHIVES OF INTERNAL MEDICINE,"35,977",9.813,0.113440
EUROPEAN HEART JOURNAL,"23,611",9.800,0.106830
FEMS MICROBIOLOGY REVIEWS,"6,025",9.783,0.017840
Annual Review of Clinical Psychology,837,9.613,0.007120
Annual Review of Clinical Psychology,837,9.613,0.007120
JOURNAL OF CELL BIOLOGY,"71,752",9.575,0.231240
PLoS Genetics,"8,883",9.532,0.099640
BRAIN,"34,282",9.490,0.100270
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"451,386",9.432,1.678200
GUT,"28,455",9.357,0.070760
ANNUAL REVIEW OF FLUID MECHANICS,"5,639",9.353,0.014890
CANCER AND METASTASIS REVIEWS,"3,537",9.345,0.015050
CURRENT OPINION IN STRUCTURAL BIOLOGY,"9,606",9.344,0.049250
ANNALS OF NEUROLOGY,"29,669",9.317,0.074250
PLANT CELL,"31,626",9.293,0.119800
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,569,9.250,0.001180
CIRCULATION RESEARCH,"39,903",9.214,0.128490
NATURAL PRODUCT REPORTS,"4,479",9.202,0.014320
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"30,363",9.165,0.085320
SEMINARS IN IMMUNOLOGY,"3,076",9.155,0.017650
PROGRESS IN NEUROBIOLOGY,"9,014",9.140,0.022740
PSYCHOLOGICAL REVIEW,"20,106",9.082,0.022570
PSYCHOLOGICAL REVIEW,"20,106",9.082,0.022570
TRENDS IN PHARMACOLOGICAL SCIENCES,"9,297",9.064,0.032190
EMBO JOURNAL,"74,782",8.993,0.248180
CURRENT OPINION IN GENETICS & DEVELOPMENT,"7,598",8.987,0.041480
PLoS Pathogens,"6,527",8.978,0.051280
BIOLOGICAL PSYCHIATRY,"31,909",8.926,0.108490
PHARMACOLOGY & THERAPEUTICS,"8,922",8.897,0.029800
MOLECULAR & CELLULAR PROTEOMICS,"9,708",8.791,0.055250
ANNUAL REVIEW OF NUTRITION,"4,100",8.783,0.010180
TRENDS IN IMMUNOLOGY,"6,676",8.768,0.036620
TRENDS IN GENETICS,"10,721",8.689,0.047500
MEDICINAL RESEARCH REVIEWS,"2,737",8.656,0.006660
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,"351,813",8.580,0.901130
DIABETES,"45,282",8.505,0.135020
Energy & Environmental Science,478,8.500,0.002360
SYSTEMATIC BIOLOGY,"8,465",8.480,0.029070
ADVANCED MATERIALS,"57,456",8.379,0.213070
LEUKEMIA,"15,210",8.296,0.059330
CURRENT OPINION IN CHEMICAL BIOLOGY,"7,200",8.295,0.031070
BIOTECHNOLOGY ADVANCES,"2,788",8.250,0.008380
CELL DEATH AND DIFFERENTIATION,"11,655",8.240,0.065330
CLINICAL INFECTIOUS DISEASES,"38,561",8.195,0.138660
ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,"12,154",8.190,0.023420
NEUROLOGY,"71,302",8.172,0.173050
PROGRESS IN LIPID RESEARCH,"3,141",8.167,0.009290
CELL RESEARCH,"3,260",8.151,0.023290
ANNALS OF THE RHEUMATIC DISEASES,"20,406",8.111,0.067870
Nature Geoscience,"1,340",8.108,0.015450
Nature Clinical Practice Oncology,"1,730",8.075,0.012380
REVIEWS OF GEOPHYSICS,"5,800",8.021,0.010610
WHO Technical Report Series,"2,328",8.000,0.001560
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,"1,234",7.952,0.003660
ANNUAL REVIEW OF PUBLIC HEALTH,"2,828",7.915,0.010610
ANNUAL REVIEW OF PUBLIC HEALTH,"2,828",7.915,0.010610
PROGRESS IN SURFACE SCIENCE,"1,730",7.913,0.004980
ANNUAL REVIEW OF MATERIALS RESEARCH,"4,173",7.911,0.009310
ANNALS OF SURGERY,"32,337",7.900,0.071650
ACADEMY OF MANAGEMENT REVIEW,"14,649",7.867,0.019760
CURRENT OPINION IN MICROBIOLOGY,"6,261",7.866,0.033980
CURRENT OPINION IN BIOTECHNOLOGY,"7,126",7.820,0.023640
JOURNAL OF HEPATOLOGY,"17,413",7.818,0.046990
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"9,045",7.791,0.029700
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,"2,694",7.765,0.003060
PROGRESS IN RETINAL AND EYE RESEARCH,"2,661",7.755,0.008290
STEM CELLS,"12,969",7.747,0.071040
Advances in Immunology,"2,162",7.725,0.008240
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"27,269",7.689,0.096290
ACM COMPUTING SURVEYS,"3,640",7.667,0.005380
EUROPEAN UROLOGY,"12,901",7.667,0.046280
ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES,"3,860",7.581,0.012970
ANTIOXIDANTS & REDOX SIGNALING,"6,649",7.581,0.032860
AGING CELL,"2,564",7.554,0.018220
CURRENT PROBLEMS IN CANCER,262,7.545,0.000790
CANCER RESEARCH,"131,662",7.543,0.418370
Perspectives on Psychological Science,805,7.508,0.007430
ACS Nano,"3,313",7.493,0.019660
MOLECULAR INTERVENTIONS,"1,095",7.480,0.004440
NUCLEIC ACIDS RESEARCH,"95,799",7.479,0.352470
SCHIZOPHRENIA BULLETIN,"7,578",7.467,0.021400
SCHIZOPHRENIA BULLETIN,"7,578",7.467,0.021400
ACTA PHYSICA SLOVACA,309,7.455,0.002020
REVIEWS IN MEDICAL VIROLOGY,"1,446",7.449,0.006210
BRAIN RESEARCH REVIEWS,"7,805",7.390,0.024510
HUMAN MOLECULAR GENETICS,"29,567",7.386,0.125610
BIOMATERIALS,"46,835",7.365,0.129690
ASTROPHYSICAL JOURNAL,"203,596",7.364,0.512450
ARTHRITIS AND RHEUMATISM,"41,156",7.332,0.004180
BRIEFINGS IN BIOINFORMATICS,"2,898",7.329,0.019260
PHYSICAL REVIEW LETTERS,"332,130",7.328,1.266350
OCEANOGRAPHY AND MARINE BIOLOGY,"2,030",7.312,0.002420
CANADIAN MEDICAL ASSOCIATION JOURNAL,"10,024",7.271,0.029280
CURRENT OPINION IN PHARMACOLOGY,"4,012",7.259,0.022110
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,"29,651",7.235,0.098740
JOURNAL OF AUTOIMMUNITY,"3,239",7.231,0.009300
CURRENT OPINION IN NEUROBIOLOGY,"9,784",7.211,0.048310
DEVELOPMENT,"49,204",7.194,0.195750
BLOOD REVIEWS,"1,423",7.185,0.005330
JOURNAL OF NEUROSCIENCE,"127,366",7.178,0.484330
ADVANCES IN ORGANOMETALLIC CHEMISTRY,"1,017",7.154,0.001650
ONCOGENE,"57,366",7.135,0.240140
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"2,030",7.097,0.005520
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"1,303",7.091,0.002720
HUMAN REPRODUCTION UPDATE,"4,121",7.042,0.012060
STROKE,"46,637",7.041,0.107300
THORAX,"15,521",7.041,0.040330
NEUROPSYCHOPHARMACOLOGY,"15,516",6.993,0.059080
ADVANCED FUNCTIONAL MATERIALS,"16,763",6.990,0.089340
CEREBRAL CORTEX,"15,940",6.979,0.074240
CLINICAL PHARMACOLOGY & THERAPEUTICS,"12,686",6.961,0.032540
PLANT JOURNAL,"25,981",6.946,0.097330
PHYSIOLOGY,"1,611",6.945,0.013030
EARTH-SCIENCE REVIEWS,"4,397",6.942,0.014580
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"2,211",6.922,0.017190
JOURNAL OF ECONOMIC LITERATURE,"5,018",6.919,0.015500
SEMINARS IN CANCER BIOLOGY,"3,708",6.918,0.015540
HEALTH TECHNOLOGY ASSESSMENT,"3,284",6.910,0.012680
TRENDS IN BIOTECHNOLOGY,"8,118",6.909,0.023990
EMBO REPORTS,"8,743",6.907,0.059740
TRENDS IN MICROBIOLOGY,"6,906",6.894,0.026680
