Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
CA-A CANCER JOURNAL FOR CLINICIANS,"7,522",74.575,0.036500
NEW ENGLAND JOURNAL OF MEDICINE,"205,750",50.017,0.680290
ANNUAL REVIEW OF IMMUNOLOGY,"15,519",41.059,0.073820
NATURE REVIEWS MOLECULAR CELL BIOLOGY,"19,628",35.423,0.178360
PHYSIOLOGICAL REVIEWS,"17,865",35.000,0.056140
REVIEWS OF MODERN PHYSICS,"24,577",33.985,0.089320
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"114,250",31.718,0.380980
NATURE,"443,967",31.434,1.763450
CELL,"142,064",31.253,0.671690
NATURE REVIEWS CANCER,"18,908",30.762,0.135250
NATURE GENETICS,"61,812",30.259,0.321780
ANNUAL REVIEW OF BIOCHEMISTRY,"16,889",30.016,0.068520
NATURE REVIEWS IMMUNOLOGY,"15,775",30.006,0.134470
NATURE REVIEWS DRUG DISCOVERY,"10,062",28.690,0.068120
LANCET,"148,106",28.409,0.411770
SCIENCE,"409,290",28.103,1.583090
NATURE MEDICINE,"48,632",27.553,0.226870
ANNUAL REVIEW OF NEUROSCIENCE,"10,132",26.405,0.046110
NATURE REVIEWS NEUROSCIENCE,"15,642",25.940,0.113990
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,"6,280",25.826,0.023370
NATURE IMMUNOLOGY,"25,245",25.113,0.207190
Nature Photonics,"1,745",24.982,0.014870
CANCER CELL,"12,985",24.962,0.119020
NATURE REVIEWS GENETICS,"12,732",24.185,0.107600
CHEMICAL REVIEWS,"69,560",23.592,0.202880
NATURE MATERIALS,"18,902",23.132,0.185540
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,"8,063",22.731,0.049610
NATURE BIOTECHNOLOGY,"28,188",22.297,0.147050
ANNUAL REVIEW OF PLANT BIOLOGY,"9,487",22.192,0.025700
PHARMACOLOGICAL REVIEWS,"9,184",21.936,0.020770
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,"6,510",21.561,0.020290
IMMUNITY,"25,824",20.579,0.152920
Nature Nanotechnology,"2,927",20.571,0.029360
